+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  1.0051127208e-01  9.0637040433e-04  1.0051535864e-01
 2.0000000000e+01  1.8430408783e-01  1.8830130821e-03  1.8431370684e-01
