+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  5.2601263200e-02  4.3459854182e-04  5.2603058525e-02
 2.0000000000e+01  1.7472055602e-01  1.6057911091e-03  1.7472793498e-01
