+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  5.6245293848e-02  6.8980181769e-04  5.6249523612e-02
 2.0000000000e+01  3.1520531603e-01  5.0371838306e-03  3.1524556218e-01
