+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  3.7393756090e-02  3.1887205384e-04  3.7395115642e-02
 2.0000000000e+01  1.8324698615e-01  1.7223201295e-03  1.8325507993e-01
