+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  7.2483789853e-02  7.5845352362e-04  7.2487757885e-02
 2.0000000000e+01  2.7615749474e-01  3.9084830595e-03  2.7618515192e-01
