+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  4.6086984723e-02  6.5552777486e-04  4.6091646504e-02
 2.0000000000e+01  3.3642673241e-01  5.7173713742e-03  3.3647531056e-01
