+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  7.3816119401e-02  6.5055172675e-04  7.3818986046e-02
 2.0000000000e+01  2.1756983253e-01  2.4664488398e-03  2.1758381235e-01
