+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  4.0738866351e-02  4.0946774162e-04  4.0740924086e-02
 2.0000000000e+01  2.5085298705e-01  3.1855832332e-03  2.5087321310e-01
