+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  4.5754848762e-02  4.3128635156e-04  4.5756881375e-02
 2.0000000000e+01  2.1831263608e-01  2.4380494058e-03  2.1832624936e-01
