+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  6.1658029171e-02  5.4829625599e-04  6.1660466995e-02
 2.0000000000e+01  2.0323865698e-01  2.1559031519e-03  2.0325009129e-01
