+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  5.9469910129e-02  7.6152739869e-04  5.9474785706e-02
 2.0000000000e+01  3.1476961667e-01  5.0382945943e-03  3.1480993630e-01
