+++++++++++++++++++++
Linear Error Analysis
+++++++++++++++++++++
Column 1    = Prior_Error
Column 2    = Noise_Error
Column 3    = Smoothing_Error
Column 4    = Total_Error
Row 1       = Optical thickness
Row 2       = Effective radius [micron]
 1.6000000000e+01  4.3200854140e-02  6.6191536741e-04  4.3205924714e-02
 2.0000000000e+01  3.7610817011e-01  7.1221242500e-03  3.7617559766e-01
