 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
1122.896  2.25026e-01  3.18575e-02  1.31380e-03  1.13205e-02  2.08393e-02  4.11668e-03  2.21565e-01  3.46030e-03  2.03593e-02  4.80035e-04
1128.953  2.59286e-01  4.67260e-02  1.49144e-03  1.60916e-02  2.40530e-02  6.18844e-03  2.55172e-01  4.11485e-03  2.34473e-02  6.05725e-04
1134.995  2.30517e-01  3.70745e-02  1.31660e-03  1.29514e-02  2.13660e-02  4.86522e-03  2.26958e-01  3.55961e-03  2.08548e-02  5.11174e-04
1141.021  3.15796e-01  7.72089e-02  1.77829e-03  2.56633e-02  2.93977e-02  1.05282e-02  3.10482e-01  5.31405e-03  2.85297e-02  8.67989e-04
1147.033  2.82575e-01  5.96244e-02  1.57513e-03  2.01089e-02  2.62446e-02  8.03347e-03  2.78089e-01  4.48590e-03  2.55531e-02  6.91486e-04
1153.030  3.19002e-01  8.21839e-02  1.76269e-03  2.70858e-02  2.97228e-02  1.13034e-02  3.13467e-01  5.53472e-03  2.88040e-02  9.18792e-04
1159.012  3.80974e-01  1.37671e-01  2.11807e-03  4.30733e-02  3.58006e-02  1.99694e-02  3.73978e-01  6.99628e-03  3.43642e-02  1.43639e-03
1164.979  4.10170e-01  1.67494e-01  2.27321e-03  5.17784e-02  3.87571e-02  2.47907e-02  4.02301e-01  7.86949e-03  3.69667e-02  1.79035e-03
1170.931  4.15181e-01  1.73211e-01  2.28052e-03  5.34348e-02  3.92756e-02  2.57354e-02  4.07213e-01  7.96795e-03  3.74182e-02  1.85742e-03
1176.869  4.09752e-01  1.73260e-01  2.22908e-03  5.33936e-02  3.87796e-02  2.57820e-02  4.01927e-01  7.82437e-03  3.69324e-02  1.84718e-03
1182.792  3.93307e-01  1.61460e-01  2.11453e-03  4.98857e-02  3.71560e-02  2.39381e-02  3.85962e-01  7.34482e-03  3.54654e-02  1.69056e-03
1188.701  3.91311e-01  1.62002e-01  2.08298e-03  5.00100e-02  3.69756e-02  2.40467e-02  3.84062e-01  7.24905e-03  3.52908e-02  1.68476e-03
1194.595  4.03658e-01  1.72386e-01  2.13007e-03  5.30658e-02  3.81964e-02  2.56875e-02  3.96155e-01  7.50313e-03  3.64020e-02  1.79445e-03
1200.475  3.89291e-01  1.64222e-01  2.03144e-03  5.06282e-02  3.68004e-02  2.44281e-02  3.82193e-01  7.09801e-03  3.51191e-02  1.68137e-03
1206.341  3.95947e-01  1.72248e-01  2.04872e-03  5.29248e-02  3.74792e-02  2.57305e-02  3.88680e-01  7.26722e-03  3.57152e-02  1.76401e-03
1212.193  3.90400e-01  1.68674e-01  1.99758e-03  5.18930e-02  3.69291e-02  2.51603e-02  3.83333e-01  7.06727e-03  3.52238e-02  1.70529e-03
1218.030  3.97636e-01  1.77687e-01  2.01759e-03  5.44482e-02  3.76770e-02  2.66461e-02  3.90388e-01  7.24798e-03  3.58721e-02  1.80491e-03
1223.854  3.96355e-01  1.79437e-01  1.99287e-03  5.48999e-02  3.75724e-02  2.69621e-02  3.89153e-01  7.20197e-03  3.57586e-02  1.81374e-03
1229.663  3.97423e-01  1.83534e-01  1.98117e-03  5.60045e-02  3.77147e-02  2.76848e-02  3.90192e-01  7.23130e-03  3.58541e-02  1.86059e-03
1235.458  3.96078e-01  1.85537e-01  1.95744e-03  5.64928e-02  3.76233e-02  2.80939e-02  3.88873e-01  7.20484e-03  3.57329e-02  1.89046e-03
1241.240  3.91458e-01  1.84291e-01  1.91474e-03  5.60902e-02  3.71866e-02  2.79390e-02  3.84393e-01  7.06490e-03  3.53212e-02  1.86537e-03
1247.008  3.86488e-01  1.81472e-01  1.86821e-03  5.52969e-02  3.66556e-02  2.74500e-02  3.79605e-01  6.88345e-03  3.48812e-02  1.77442e-03
1252.762  3.78471e-01  1.76697e-01  1.80710e-03  5.39087e-02  3.58171e-02  2.66489e-02  3.71901e-01  6.57003e-03  3.41733e-02  1.64373e-03
1258.503  3.67190e-01  1.68761e-01  1.72878e-03  5.16379e-02  3.46392e-02  2.52971e-02  3.61019e-01  6.17096e-03  3.31734e-02  1.46583e-03
1264.230  3.48894e-01  1.56481e-01  1.61912e-03  4.80972e-02  3.28117e-02  2.32803e-02  3.43245e-01  5.64914e-03  3.15402e-02  1.27145e-03
1269.944  3.44049e-01  1.53409e-01  1.57810e-03  4.72225e-02  3.23332e-02  2.27820e-02  3.38574e-01  5.47577e-03  3.11110e-02  1.22224e-03
1275.644  3.54050e-01  1.60718e-01  1.61023e-03  4.93119e-02  3.33370e-02  2.39900e-02  3.48354e-01  5.69619e-03  3.20096e-02  1.32734e-03
1281.331  3.34280e-01  1.52630e-01  1.50593e-03  4.67828e-02  3.15185e-02  2.28393e-02  3.28893e-01  5.38706e-03  3.02214e-02  1.29710e-03
1287.004  3.49916e-01  1.58382e-01  1.55845e-03  4.86208e-02  3.29980e-02  2.36749e-02  3.44339e-01  5.57638e-03  3.16408e-02  1.35718e-03
1292.665  3.45744e-01  1.53965e-01  1.52105e-03  4.73551e-02  3.25880e-02  2.29621e-02  3.40326e-01  5.41829e-03  3.12720e-02  1.31605e-03
1298.312  3.35580e-01  1.43740e-01  1.45605e-03  4.44071e-02  3.15793e-02  2.13248e-02  3.30466e-01  5.11404e-03  3.03659e-02  1.21334e-03
1303.947  3.22656e-01  1.33053e-01  1.38188e-03  4.12449e-02  3.03172e-02  1.96523e-02  3.17851e-01  4.80480e-03  2.92069e-02  1.11039e-03
1309.568  3.12273e-01  1.23232e-01  1.31915e-03  3.83189e-02  2.92914e-02  1.81106e-02  3.07750e-01  4.52308e-03  2.82786e-02  1.01276e-03
1315.177  2.91903e-01  1.09228e-01  1.21624e-03  3.40926e-02  2.73295e-02  1.59352e-02  2.87743e-01  4.16046e-03  2.64402e-02  8.89303e-04
1320.772  2.76259e-01  9.39200e-02  1.13249e-03  2.96683e-02  2.57971e-02  1.34814e-02  2.72567e-01  3.69214e-03  2.50457e-02  7.51339e-04
