 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
1519.509    3.01123e-02    3.01342e-02   -2.18606e-05
1524.675    3.04252e-02    3.09478e-02   -5.22592e-04
1529.831    3.07623e-02    3.12250e-02   -4.62735e-04
1534.978    3.23346e-02    3.21517e-02    1.82857e-04
1540.114    3.23721e-02    3.23793e-02   -7.24719e-06
1545.242    3.38861e-02    3.34440e-02    4.42112e-04
1550.360    3.38124e-02    3.34137e-02    3.98715e-04
1555.468    3.30562e-02    3.30932e-02   -3.70307e-05
1560.567    3.36624e-02    3.35648e-02    9.75833e-05
1565.657    3.33555e-02    3.27374e-02    6.18074e-04
1570.738    3.13794e-02    3.13776e-02    1.75278e-06
1575.809    3.07587e-02    3.02723e-02    4.86418e-04
1580.872    3.20575e-02    3.18617e-02    1.95785e-04
1585.926    3.24583e-02    3.23890e-02    6.93031e-05
1590.971    3.16382e-02    3.15177e-02    1.20547e-04
1596.007    3.24544e-02    3.20691e-02    3.85310e-04
1601.035    3.10476e-02    3.08947e-02    1.52874e-04
1606.054    3.08729e-02    3.10323e-02   -1.59351e-04
1611.064    3.03716e-02    3.05176e-02   -1.46039e-04
1616.066    3.13829e-02    3.11935e-02    1.89423e-04
1621.060    3.16592e-02    3.17431e-02   -8.38900e-05
1626.045    3.24123e-02    3.25485e-02   -1.36213e-04
1631.023    3.20805e-02    3.21812e-02   -1.00715e-04
1635.992    3.13732e-02    3.11622e-02    2.11048e-04
1640.954    2.99035e-02    2.97317e-02    1.71785e-04
1645.907    3.01645e-02    3.02166e-02   -5.20921e-05
1650.852    3.01132e-02    3.01768e-02   -6.36261e-05
1655.790    3.04562e-02    3.03294e-02    1.26818e-04
1660.720    3.03202e-02    3.03071e-02    1.31209e-05
1665.643    2.94340e-02    2.96731e-02   -2.39131e-04
1670.558    2.99481e-02    2.96550e-02    2.93130e-04
1675.466    2.89363e-02    2.90559e-02   -1.19565e-04
1680.366    2.75561e-02    2.77597e-02   -2.03552e-04
1685.259    2.85442e-02    2.85581e-02   -1.39349e-05
1690.145    2.82123e-02    2.81666e-02    4.56654e-05
1695.024    2.80681e-02    2.81182e-02   -5.01173e-05
1699.896    2.74292e-02    2.75408e-02   -1.11629e-04
1704.761    2.69046e-02    2.70042e-02   -9.96479e-05
1709.619    2.62303e-02    2.61552e-02    7.50858e-05
1714.471    2.64868e-02    2.63971e-02    8.96934e-05
1719.315    2.57119e-02    2.56231e-02    8.88208e-05
1724.153    2.44591e-02    2.43200e-02    1.39122e-04
1728.985    2.48713e-02    2.45254e-02    3.45942e-04
1733.811    2.24116e-02    2.25238e-02   -1.12249e-04
1738.630    2.17329e-02    2.18998e-02   -1.66869e-04
1743.442    2.19908e-02    2.18198e-02    1.71006e-04
