 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 435.183  1.42593e+00  6.40392e-01  7.77313e-02  1.79779e-01  1.65156e-01  1.05985e-01  1.10689e+00  3.19035e-01  1.01722e-01  6.34335e-02
 436.013  1.46282e+00  6.56603e-01  7.93432e-02  1.84366e-01  1.69296e-01  1.08642e-01  1.13717e+00  3.25645e-01  1.04505e-01  6.47913e-02
 436.844  1.47175e+00  6.60250e-01  7.94390e-02  1.85424e-01  1.70200e-01  1.09220e-01  1.14571e+00  3.26033e-01  1.05290e-01  6.49103e-02
 437.674  1.45374e+00  6.51801e-01  7.80751e-02  1.83085e-01  1.67986e-01  1.07797e-01  1.13331e+00  3.20425e-01  1.04150e-01  6.38357e-02
 438.504  1.43553e+00  6.43271e-01  7.66931e-02  1.80726e-01  1.65746e-01  1.06359e-01  1.12080e+00  3.14735e-01  1.03000e-01  6.27456e-02
 439.335  1.44087e+00  6.45305e-01  7.65667e-02  1.81338e-01  1.66222e-01  1.06667e-01  1.12667e+00  3.14196e-01  1.03540e-01  6.26824e-02
 440.165  1.46914e+00  6.57617e-01  7.76610e-02  1.84840e-01  1.69345e-01  1.08673e-01  1.15047e+00  3.18672e-01  1.05727e-01  6.36182e-02
 440.995  1.50487e+00  6.73241e-01  7.91453e-02  1.89273e-01  1.73325e-01  1.11226e-01  1.18012e+00  3.24749e-01  1.08451e-01  6.48731e-02
 441.825  1.53596e+00  6.86749e-01  8.03755e-02  1.93109e-01  1.76766e-01  1.13430e-01  1.20618e+00  3.29779e-01  1.10847e-01  6.59190e-02
 442.655  1.55806e+00  6.96187e-01  8.11234e-02  1.95799e-01  1.79166e-01  1.14961e-01  1.22523e+00  3.32826e-01  1.12597e-01  6.65688e-02
 443.486  1.57082e+00  7.01421e-01  8.13774e-02  1.97307e-01  1.80489e-01  1.15797e-01  1.23698e+00  3.33843e-01  1.13676e-01  6.68123e-02
 444.316  1.57542e+00  7.03006e-01  8.12062e-02  1.97788e-01  1.80873e-01  1.16030e-01  1.24232e+00  3.33111e-01  1.14167e-01  6.67055e-02
 445.146  1.57663e+00  7.03087e-01  8.08573e-02  1.97848e-01  1.80865e-01  1.16014e-01  1.24499e+00  3.31647e-01  1.14412e-01  6.64518e-02
 445.976  1.58599e+00  7.06836e-01  8.09204e-02  1.98945e-01  1.81790e-01  1.16602e-01  1.25412e+00  3.31871e-01  1.15252e-01  6.65383e-02
 446.805  1.61202e+00  7.18058e-01  8.18291e-02  2.02147e-01  1.84628e-01  1.18423e-01  1.27645e+00  3.35571e-01  1.17303e-01  6.73246e-02
 447.635  1.64847e+00  7.33965e-01  8.32640e-02  2.06666e-01  1.88663e-01  1.21019e-01  1.30703e+00  3.41441e-01  1.20113e-01  6.85498e-02
 448.465  1.68417e+00  7.49562e-01  8.46525e-02  2.11097e-01  1.92614e-01  1.23565e-01  1.33704e+00  3.47132e-01  1.22871e-01  6.97426e-02
 449.295  1.71606e+00  7.63463e-01  8.58367e-02  2.15049e-01  1.96127e-01  1.25831e-01  1.36408e+00  3.51990e-01  1.25356e-01  7.07706e-02
 450.125  1.74132e+00  7.74379e-01  8.66815e-02  2.18160e-01  1.98877e-01  1.27605e-01  1.38587e+00  3.55453e-01  1.27359e-01  7.15185e-02
 450.954  1.74851e+00  7.77222e-01  8.66287e-02  2.18993e-01  1.99563e-01  1.28049e-01  1.39328e+00  3.55231e-01  1.28040e-01  7.15230e-02
 451.784  1.73121e+00  7.69144e-01  8.53642e-02  2.16747e-01  1.97452e-01  1.26694e-01  1.38118e+00  3.50033e-01  1.26927e-01  7.05239e-02
 452.613  1.70408e+00  7.56688e-01  8.36139e-02  2.13270e-01  1.94216e-01  1.24616e-01  1.36124e+00  3.42837e-01  1.25095e-01  6.91207e-02
 453.443  1.69030e+00  7.50182e-01  8.25207e-02  2.11473e-01  1.92501e-01  1.23517e-01  1.35196e+00  3.38332e-01  1.24242e-01  6.82584e-02
 454.273  1.69714e+00  7.52869e-01  8.24420e-02  2.12272e-01  1.93137e-01  1.23930e-01  1.35916e+00  3.37985e-01  1.24903e-01  6.82332e-02
 455.102  1.71435e+00  7.60180e-01  8.28726e-02  2.14378e-01  1.94952e-01  1.25103e-01  1.37462e+00  3.39723e-01  1.26325e-01  6.86271e-02
 455.931  1.72929e+00  7.66490e-01  8.31955e-02  2.16202e-01  1.96509e-01  1.26111e-01  1.38829e+00  3.41007e-01  1.27580e-01  6.89293e-02
 456.761  1.73549e+00  7.68913e-01  8.30972e-02  2.16930e-01  1.97072e-01  1.26480e-01  1.39492e+00  3.40563e-01  1.28190e-01  6.88816e-02
 457.590  1.73308e+00  7.67515e-01  8.25864e-02  2.16578e-01  1.96657e-01  1.26220e-01  1.39460e+00  3.38482e-01  1.28160e-01  6.84973e-02
 458.420  1.72728e+00  7.64615e-01  8.19136e-02  2.15801e-01  1.95859e-01  1.25714e-01  1.39139e+00  3.35896e-01  1.27865e-01  6.79941e-02
 459.249  1.72445e+00  7.63033e-01  8.13810e-02  2.15397e-01  1.95398e-01  1.25423e-01  1.39031e+00  3.34135e-01  1.27766e-01  6.76312e-02
 460.078  1.72707e+00  7.63888e-01  8.11090e-02  2.15682e-01  1.95555e-01  1.25534e-01  1.39349e+00  3.33580e-01  1.28058e-01  6.74971e-02
 460.907  1.73174e+00  7.65661e-01  8.09400e-02  2.16228e-01  1.95946e-01  1.25794e-01  1.39856e+00  3.33180e-01  1.28524e-01  6.74212e-02
 461.737  1.73326e+00  7.66021e-01  8.06312e-02  2.16374e-01  1.95978e-01  1.25823e-01  1.40163e+00  3.31637e-01  1.28806e-01  6.71722e-02
 462.566  1.73051e+00  7.64454e-01  8.01281e-02  2.15972e-01  1.95527e-01  1.25535e-01  1.40157e+00  3.28938e-01  1.28801e-01  6.67256e-02
 463.395  1.72618e+00  7.62167e-01  7.95538e-02  2.15364e-01  1.94898e-01  1.25130e-01  1.40015e+00  3.26034e-01  1.28670e-01  6.62279e-02
 464.224  1.72300e+00  7.60389e-01  7.90336e-02  2.14898e-01  1.94401e-01  1.24809e-01  1.39938e+00  3.23618e-01  1.28599e-01  6.58013e-02
 465.053  1.72236e+00  7.59756e-01  7.86326e-02  2.14757e-01  1.94193e-01  1.24675e-01  1.40050e+00  3.21864e-01  1.28702e-01  6.54905e-02
 465.882  1.72483e+00  7.60503e-01  7.83749e-02  2.15010e-01  1.94334e-01  1.24767e-01  1.40407e+00  3.20756e-01  1.29031e-01  6.53030e-02
 466.711  1.73107e+00  7.62903e-01  7.82881e-02  2.15732e-01  1.94896e-01  1.25128e-01  1.41071e+00  3.20353e-01  1.29641e-01  6.52557e-02
 467.540  1.74054e+00  7.66696e-01  7.83469e-02  2.16848e-01  1.95819e-01  1.25717e-01  1.42000e+00  3.20538e-01  1.30494e-01  6.53248e-02
 468.369  1.74853e+00  7.69777e-01  7.83389e-02  2.17763e-01  1.96569e-01  1.26186e-01  1.42809e+00  3.20434e-01  1.31238e-01  6.53314e-02
 469.198  1.74993e+00  7.69899e-01  7.80356e-02  2.17842e-01  1.96572e-01  1.26169e-01  1.43082e+00  3.19101e-01  1.31489e-01  6.50836e-02
 470.027  1.74587e+00  7.67583e-01  7.74883e-02  2.17235e-01  1.95956e-01  1.25749e-01  1.42912e+00  3.16748e-01  1.31332e-01  6.46240e-02
 470.855  1.74157e+00  7.65126e-01  7.69303e-02  2.16593e-01  1.95306e-01  1.25302e-01  1.42724e+00  3.14332e-01  1.31159e-01  6.41470e-02
 471.684  1.74000e+00  7.63825e-01  7.64937e-02  2.16283e-01  1.94955e-01  1.25041e-01  1.42760e+00  3.12395e-01  1.31193e-01  6.37627e-02
 472.513  1.74169e+00  7.63894e-01  7.61995e-02  2.16365e-01  1.94961e-01  1.25001e-01  1.43066e+00  3.11025e-01  1.31473e-01  6.34880e-02
 473.342  1.74741e+00  7.65648e-01  7.60770e-02  2.16928e-01  1.95408e-01  1.25231e-01  1.43707e+00  3.10339e-01  1.32062e-01  6.33452e-02
 474.170  1.75599e+00  7.68567e-01  7.60752e-02  2.17828e-01  1.96160e-01  1.25646e-01  1.44588e+00  3.10114e-01  1.32872e-01  6.32886e-02
 474.999  1.76233e+00  7.70437e-01  7.59764e-02  2.18437e-01  1.96652e-01  1.25884e-01  1.45287e+00  3.09459e-01  1.33514e-01  6.31380e-02
 475.828  1.76333e+00  7.69989e-01  7.56518e-02  2.18386e-01  1.96551e-01  1.25744e-01  1.45545e+00  3.07876e-01  1.33751e-01  6.27996e-02
 476.656  1.76240e+00  7.68860e-01  7.52524e-02  2.18129e-01  1.96260e-01  1.25505e-01  1.45636e+00  3.06043e-01  1.33835e-01  6.24251e-02
 477.485  1.76252e+00  7.68498e-01  7.49116e-02  2.18065e-01  1.96131e-01  1.25414e-01  1.45795e+00  3.04562e-01  1.33981e-01  6.21502e-02
 478.313  1.76125e+00  7.67904e-01  7.45295e-02  2.17910e-01  1.95903e-01  1.25310e-01  1.45820e+00  3.03048e-01  1.34004e-01  6.18994e-02
 479.142  1.75745e+00  7.66487e-01  7.40534e-02  2.17502e-01  1.95434e-01  1.25091e-01  1.45620e+00  3.01253e-01  1.33820e-01  6.16148e-02
 479.970  1.75478e+00  7.65675e-01  7.36313e-02  2.17254e-01  1.95109e-01  1.24979e-01  1.45505e+00  2.99720e-01  1.33715e-01  6.13946e-02
 480.799  1.75568e+00  7.66394e-01  7.33619e-02  2.17439e-01  1.95181e-01  1.25118e-01  1.45688e+00  2.98799e-01  1.33882e-01  6.12984e-02
 481.627  1.75695e+00  7.67167e-01  7.31087e-02  2.17644e-01  1.95280e-01  1.25259e-01  1.45904e+00  2.97902e-01  1.34081e-01  6.11993e-02
 482.456  1.75105e+00  7.64687e-01  7.25597e-02  2.16933e-01  1.94568e-01  1.24862e-01  1.45530e+00  2.95750e-01  1.33737e-01  6.08314e-02
 483.284  1.72987e+00  7.55413e-01  7.13829e-02  2.14302e-01  1.92144e-01  1.23347e-01  1.43887e+00  2.90997e-01  1.32227e-01  5.99165e-02
 484.112  1.68867e+00  7.37309e-01  6.93904e-02  2.09172e-01  1.87486e-01  1.20384e-01  1.40578e+00  2.82891e-01  1.29186e-01  5.82997e-02
 484.941  1.63263e+00  7.12666e-01  6.67985e-02  2.02193e-01  1.81173e-01  1.16348e-01  1.36030e+00  2.72326e-01  1.25007e-01  5.61666e-02
 485.769  1.58376e+00  6.91133e-01  6.45060e-02  1.96102e-01  1.75652e-01  1.12817e-01  1.32079e+00  2.62971e-01  1.21375e-01  5.42771e-02
 486.597  1.56789e+00  6.84000e-01  6.35620e-02  1.94103e-01  1.73789e-01  1.11633e-01  1.30878e+00  2.59106e-01  1.20272e-01  5.35169e-02
 487.426  1.58695e+00  6.92106e-01  6.40409e-02  1.96430e-01  1.75797e-01  1.12934e-01  1.32591e+00  2.61034e-01  1.21846e-01  5.39507e-02
 488.254  1.62014e+00  7.06352e-01  6.50926e-02  2.00500e-01  1.79369e-01  1.15237e-01  1.35484e+00  2.65290e-01  1.24505e-01  5.48638e-02
