 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 894.195    1.09935e-01    1.10094e-01   -1.59389e-04
 900.842    8.56288e-02    8.61741e-02   -5.45324e-04
 907.472    8.97194e-02    9.01036e-02   -3.84238e-04
 914.084    8.45830e-02    8.55219e-02   -9.38903e-04
 920.678    9.70814e-02    9.62293e-02    8.52095e-04
 927.255    8.30636e-02    8.49751e-02   -1.91145e-03
 933.815    3.41928e-02    3.41527e-02    4.00689e-05
 940.358    5.92749e-02    5.90664e-02    2.08525e-04
 946.883    4.82336e-02    4.81731e-02    6.04784e-05
 953.391    5.54629e-02    5.56032e-02   -1.40342e-04
 959.883    6.62046e-02    6.67658e-02   -5.61170e-04
 966.357    7.61311e-02    7.64931e-02   -3.62019e-04
 972.814    8.53802e-02    8.57247e-02   -3.44491e-04
 979.255    8.77046e-02    8.79593e-02   -2.54688e-04
 985.679    9.68006e-02    9.65166e-02    2.83978e-04
 992.086    9.79159e-02    9.86181e-02   -7.02228e-04
 998.476    9.70228e-02    9.82845e-02   -1.26171e-03
1004.850    9.35680e-02    9.32121e-02    3.55947e-04
1011.208    9.39413e-02    9.48636e-02   -9.22290e-04
1017.548    9.44300e-02    9.41637e-02    2.66298e-04
1023.873    9.35021e-02    9.29267e-02    5.75356e-04
1030.181    9.29134e-02    9.30022e-02   -8.88012e-05
1036.473    9.20709e-02    9.17035e-02    3.67397e-04
1042.749    9.10447e-02    9.09367e-02    1.07977e-04
1049.009    9.00287e-02    8.98672e-02    1.61517e-04
1055.253    8.74995e-02    8.82999e-02   -8.00388e-04
1061.481    8.63835e-02    8.57169e-02    6.66565e-04
1067.693    8.21265e-02    8.29703e-02   -8.43793e-04
1073.889    8.10924e-02    8.09873e-02    1.05140e-04
1080.069    7.83026e-02    7.79340e-02    3.68559e-04
1086.234    7.55363e-02    7.49596e-02    5.76678e-04
1092.383    7.10191e-02    7.02096e-02    8.09523e-04
1098.516    6.05200e-02    6.05139e-02    6.13432e-06
1104.634    5.55338e-02    5.61948e-02   -6.60969e-04
1110.737    5.16174e-02    5.29239e-02   -1.30650e-03
1116.824    2.77509e-02    2.79308e-02   -1.79911e-04
1122.896    1.24436e-02    1.25062e-02   -6.25827e-05
1128.953    1.75188e-02    1.77616e-02   -2.42806e-04
1134.995    1.44033e-02    1.43215e-02    8.17524e-05
1141.021    2.86004e-02    2.83236e-02    2.76841e-04
1147.033    2.16942e-02    2.22533e-02   -5.59078e-04
1153.030    2.95395e-02    2.99683e-02   -4.28761e-04
1159.012    4.76055e-02    4.75894e-02    1.60650e-05
1164.979    5.62869e-02    5.71534e-02   -8.66545e-04
1170.931    5.74580e-02    5.89908e-02   -1.53279e-03
1176.869    5.74260e-02    5.89630e-02   -1.53703e-03
1182.792    5.46045e-02    5.51324e-02   -5.27887e-04
1188.701    5.57792e-02    5.52985e-02    4.80722e-04
1194.595    5.78158e-02    5.86801e-02   -8.64296e-04
1200.475    5.66333e-02    5.59976e-02    6.35721e-04
1206.341    5.92417e-02    5.85557e-02    6.86010e-04
1212.193    5.79300e-02    5.74367e-02    4.93344e-04
1218.030    6.08751e-02    6.02376e-02    6.37507e-04
1223.854    5.98214e-02    6.07414e-02   -9.19980e-04
1229.663    6.22435e-02    6.19659e-02    2.77623e-04
1235.458    6.12184e-02    6.25133e-02   -1.29488e-03
1241.240    6.26746e-02    6.20707e-02    6.03862e-04
1247.008    6.03734e-02    6.11852e-02   -8.11804e-04
1252.762    5.82578e-02    5.96670e-02   -1.40919e-03
1258.503    5.72794e-02    5.71892e-02    9.01957e-05
1264.230    5.18891e-02    5.33043e-02   -1.41517e-03
1269.944    5.27027e-02    5.23482e-02    3.54475e-04
1275.644    5.64348e-02    5.46840e-02    1.75078e-03
1281.331    5.09023e-02    5.18992e-02   -9.96877e-04
1287.004    5.28606e-02    5.39666e-02   -1.10604e-03
1292.665    5.33133e-02    5.26266e-02    6.86735e-04
1298.312    4.92307e-02    4.94300e-02   -1.99279e-04
1303.947    4.53029e-02    4.59909e-02   -6.87993e-04
1309.568    4.31375e-02    4.28101e-02    3.27439e-04
1315.177    3.79930e-02    3.81575e-02   -1.64501e-04
1320.772    3.31113e-02    3.32796e-02   -1.68304e-04
1326.355    3.04305e-02    3.10828e-02   -6.52264e-04
