 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
1122.896  2.24964e-01  1.48405e-02  1.30340e-03  4.82498e-03  2.08251e-02  2.00330e-03  2.21565e-01  3.39917e-03  2.03593e-02  4.65768e-04
1128.953  2.59179e-01  2.21902e-02  1.47459e-03  6.87779e-03  2.40258e-02  3.08942e-03  2.55172e-01  4.00755e-03  2.34473e-02  5.78503e-04
1134.995  2.30438e-01  1.75168e-02  1.30394e-03  5.53578e-03  2.13461e-02  2.41247e-03  2.26958e-01  3.48022e-03  2.08548e-02  4.91311e-04
1141.021  3.15582e-01  3.76064e-02  1.74756e-03  1.10533e-02  2.93370e-02  5.42389e-03  3.10482e-01  5.09959e-03  2.85297e-02  8.07309e-04
1147.033  2.82427e-01  2.87675e-02  1.55310e-03  8.63502e-03  2.62053e-02  4.08933e-03  2.78089e-01  4.33849e-03  2.55531e-02  6.52218e-04
1153.030  3.18768e-01  4.04210e-02  1.73007e-03  1.17476e-02  2.96538e-02  5.88964e-03  3.13467e-01  5.30110e-03  2.88040e-02  8.49831e-04
1159.012  3.80497e-01  7.02156e-02  2.05758e-03  1.90233e-02  3.56285e-02  1.08852e-02  3.73978e-01  6.51929e-03  3.43642e-02  1.26429e-03
1164.979  4.09558e-01  8.72490e-02  2.19894e-03  2.32524e-02  3.85122e-02  1.38455e-02  4.02301e-01  7.25786e-03  3.69667e-02  1.54547e-03
1170.931  4.14547e-01  9.05804e-02  2.20436e-03  2.40774e-02  3.90156e-02  1.44362e-02  4.07213e-01  7.33391e-03  3.74182e-02  1.59739e-03
1176.869  4.09122e-01  9.07642e-02  2.15372e-03  2.40954e-02  3.85182e-02  1.44889e-02  4.01927e-01  7.19440e-03  3.69324e-02  1.58581e-03
1182.792  3.92733e-01  8.42935e-02  2.04556e-03  2.24498e-02  3.69227e-02  1.34004e-02  3.85962e-01  6.77110e-03  3.54654e-02  1.45728e-03
1188.701  3.90738e-01  8.45798e-02  2.01447e-03  2.24847e-02  3.67406e-02  1.34659e-02  3.84062e-01  6.67597e-03  3.52908e-02  1.44979e-03
1194.595  4.03046e-01  9.01309e-02  2.05751e-03  2.38422e-02  3.79390e-02  1.44171e-02  3.96155e-01  6.89110e-03  3.64020e-02  1.53703e-03
1200.475  3.88719e-01  8.57804e-02  1.96347e-03  2.27358e-02  3.65618e-02  1.36929e-02  3.82193e-01  6.52639e-03  3.51191e-02  1.44267e-03
1206.341  3.95345e-01  9.03079e-02  1.97775e-03  2.38374e-02  3.72228e-02  1.44820e-02  3.88680e-01  6.66490e-03  3.57152e-02  1.50759e-03
1212.193  3.89821e-01  8.84037e-02  1.92926e-03  2.33772e-02  3.66830e-02  1.41522e-02  3.83333e-01  6.48778e-03  3.52238e-02  1.45923e-03
1218.030  3.97019e-01  9.35999e-02  1.94565e-03  2.46318e-02  3.74090e-02  1.50692e-02  3.90388e-01  6.63156e-03  3.58721e-02  1.53698e-03
1223.854  3.95734e-01  9.46741e-02  1.92073e-03  2.48641e-02  3.73004e-02  1.52746e-02  3.89153e-01  6.58097e-03  3.57586e-02  1.54175e-03
1229.663  3.96783e-01  9.72128e-02  1.90748e-03  2.54605e-02  3.74306e-02  1.57479e-02  3.90192e-01  6.59134e-03  3.58541e-02  1.57652e-03
1235.458  3.95426e-01  9.85090e-02  1.88309e-03  2.57268e-02  3.73300e-02  1.60264e-02  3.88873e-01  6.55339e-03  3.57329e-02  1.59714e-03
1241.240  3.90816e-01  9.80220e-02  1.84172e-03  2.55977e-02  3.68959e-02  1.59657e-02  3.84393e-01  6.42251e-03  3.53212e-02  1.57472e-03
1247.008  3.85874e-01  9.65515e-02  1.79795e-03  2.52662e-02  3.63844e-02  1.56809e-02  3.79605e-01  6.26971e-03  3.48812e-02  1.50325e-03
1252.762  3.77894e-01  9.37177e-02  1.74031e-03  2.45378e-02  3.55704e-02  1.51725e-02  3.71901e-01  5.99290e-03  3.41733e-02  1.39709e-03
1258.503  3.66670e-01  8.90216e-02  1.66742e-03  2.33582e-02  3.44282e-02  1.43167e-02  3.61019e-01  5.65145e-03  3.31734e-02  1.25476e-03
1264.230  3.48446e-01  8.20892e-02  1.56491e-03  2.16405e-02  3.26378e-02  1.30914e-02  3.43245e-01  5.20050e-03  3.15402e-02  1.09756e-03
1269.944  3.43619e-01  8.05396e-02  1.52601e-03  2.12888e-02  3.21678e-02  1.28133e-02  3.38574e-01  5.04528e-03  3.11110e-02  1.05688e-03
1275.644  3.53581e-01  8.46187e-02  1.55464e-03  2.22661e-02  3.31498e-02  1.35410e-02  3.48354e-01  5.22797e-03  3.20096e-02  1.14016e-03
1281.331  3.33827e-01  8.05822e-02  1.45289e-03  2.11872e-02  3.13309e-02  1.29285e-02  3.28893e-01  4.93385e-03  3.02214e-02  1.10945e-03
1287.004  3.49449e-01  8.37005e-02  1.50403e-03  2.20751e-02  3.28011e-02  1.34093e-02  3.44339e-01  5.10924e-03  3.16408e-02  1.16030e-03
1292.665  3.45296e-01  8.10342e-02  1.46885e-03  2.13958e-02  3.23979e-02  1.29550e-02  3.40326e-01  4.97020e-03  3.12720e-02  1.12586e-03
1298.312  3.35174e-01  7.52431e-02  1.40840e-03  1.99595e-02  3.14085e-02  1.19629e-02  3.30466e-01  4.70798e-03  3.03659e-02  1.04261e-03
