 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 494.051    2.06482e-01    2.06995e-01   -5.13099e-04
 494.879    2.08365e-01    2.08268e-01    9.68075e-05
 495.707    2.08696e-01    2.07835e-01    8.61366e-04
 496.535    2.05500e-01    2.05568e-01   -6.79306e-05
 497.363    2.02626e-01    2.02425e-01    2.00705e-04
 498.191    1.99433e-01    1.99508e-01   -7.50252e-05
 499.019    1.97893e-01    1.97205e-01    6.88049e-04
 499.847    1.96522e-01    1.95342e-01    1.17984e-03
 500.675    1.94712e-01    1.93914e-01    7.97569e-04
 501.502    1.93151e-01    1.93262e-01   -1.11098e-04
 502.330    1.94097e-01    1.93488e-01    6.09287e-04
 503.158    1.94722e-01    1.94400e-01    3.22449e-04
 503.986    1.97130e-01    1.96246e-01    8.83809e-04
 504.814    2.00495e-01    1.99127e-01    1.36758e-03
 505.642    2.01660e-01    2.01604e-01    5.55223e-05
 506.469    2.02460e-01    2.01885e-01    5.74766e-04
 507.297    2.01054e-01    2.00400e-01    6.54065e-04
 508.125    1.99754e-01    1.99211e-01    5.43453e-04
 508.953    2.00442e-01    1.99210e-01    1.23211e-03
 509.780    2.00364e-01    1.99679e-01    6.85483e-04
 510.608    1.99567e-01    1.99834e-01   -2.67407e-04
 511.436    2.00584e-01    1.99085e-01    1.49906e-03
 512.263    1.97845e-01    1.96824e-01    1.02098e-03
 513.091    1.92511e-01    1.93445e-01   -9.34435e-04
 513.918    1.90816e-01    1.90275e-01    5.41183e-04
 514.746    1.87395e-01    1.87426e-01   -3.06500e-05
 515.574    1.83065e-01    1.83311e-01   -2.46309e-04
 516.401    1.77775e-01    1.77731e-01    4.41957e-05
 517.229    1.74120e-01    1.73572e-01    5.48113e-04
 518.056    1.72850e-01    1.73413e-01   -5.63416e-04
 518.884    1.76562e-01    1.76655e-01   -9.25557e-05
 519.711    1.81034e-01    1.81152e-01   -1.18490e-04
 520.539    1.84012e-01    1.85181e-01   -1.16864e-03
 521.366    1.88130e-01    1.87776e-01    3.53576e-04
 522.194    1.87729e-01    1.88987e-01   -1.25850e-03
 523.021    1.89793e-01    1.89672e-01    1.21200e-04
 523.849    1.91018e-01    1.90096e-01    9.21924e-04
 524.676    1.88435e-01    1.89129e-01   -6.93671e-04
 525.503    1.86207e-01    1.86103e-01    1.03504e-04
 526.331    1.83622e-01    1.82960e-01    6.61633e-04
 527.158    1.83160e-01    1.82842e-01    3.17787e-04
 527.986    1.86375e-01    1.86275e-01    9.97557e-05
 528.813    1.90157e-01    1.90592e-01   -4.34514e-04
 529.640    1.93452e-01    1.93416e-01    3.64719e-05
 530.468    1.94845e-01    1.94161e-01    6.83743e-04
 531.295    1.92164e-01    1.92557e-01   -3.92597e-04
 532.122    1.88499e-01    1.88935e-01   -4.36191e-04
 532.949    1.85044e-01    1.85596e-01   -5.52459e-04
 533.777    1.84365e-01    1.85059e-01   -6.93523e-04
 534.604    1.88036e-01    1.87251e-01    7.85195e-04
 535.431    1.89951e-01    1.89949e-01    2.10562e-06
 536.259    1.90734e-01    1.91371e-01   -6.36613e-04
 537.086    1.91456e-01    1.91527e-01   -7.06163e-05
 537.913    1.90685e-01    1.91110e-01   -4.24887e-04
 538.740    1.88993e-01    1.90014e-01   -1.02085e-03
 539.567    1.87780e-01    1.87909e-01   -1.28919e-04
 540.395    1.85396e-01    1.85663e-01   -2.66717e-04
 541.222    1.84791e-01    1.84833e-01   -4.21533e-05
 542.049    1.85746e-01    1.85796e-01   -4.97586e-05
 542.876    1.88207e-01    1.87546e-01    6.61095e-04
 543.703    1.87768e-01    1.89017e-01   -1.24939e-03
 544.530    1.89990e-01    1.89690e-01    3.00149e-04
