 lambda   Irr_dw            Rad_up 
 630.512  1.3582437946e+00  1.8754999422e-01 
 631.338  1.3535932359e+00  1.8701630455e-01 
 632.164  1.3521856045e+00  1.8692537169e-01 
 632.991  1.3547098133e+00  1.8741485481e-01 
 633.817  1.3572749317e+00  1.8792531334e-01 
 634.643  1.3569813307e+00  1.8801610889e-01 
 635.470  1.3559405557e+00  1.8797874588e-01 
 636.296  1.3583234387e+00  1.8841499869e-01 
 637.122  1.3643959433e+00  1.8937373180e-01 
 637.948  1.3689066972e+00  1.9011668358e-01 
 638.775  1.3669835345e+00  1.8995331181e-01 
 639.601  1.3598517775e+00  1.8904688834e-01 
 640.427  1.3527710849e+00  1.8812194107e-01 
 641.253  1.3492011541e+00  1.8764623734e-01 
 642.079  1.3488335582e+00  1.8756085835e-01 
 642.905  1.3492959169e+00  1.8751632832e-01 
 643.732  1.3478059096e+00  1.8708536702e-01 
 644.558  1.3425775195e+00  1.8595776183e-01 
 645.384  1.3344134448e+00  1.8421809837e-01 
 646.210  1.3268416279e+00  1.8244512125e-01 
 647.036  1.3226141728e+00  1.8122795942e-01 
 647.862  1.3201431813e+00  1.8057698928e-01 
 648.688  1.3160119615e+00  1.8011755091e-01 
 649.514  1.3112504199e+00  1.7984187992e-01 
 650.340  1.3111235361e+00  1.8017758305e-01 
 651.166  1.3169562971e+00  1.8114538578e-01 
 651.992  1.3232258787e+00  1.8207507465e-01 
 652.818  1.3224454382e+00  1.8205507088e-01 
 653.644  1.3078117941e+00  1.8011156318e-01 
 654.470  1.2761582341e+00  1.7574863474e-01 
 655.296  1.2364777353e+00  1.7027202056e-01 
 656.122  1.2109623280e+00  1.6685094356e-01 
 656.948  1.2164914202e+00  1.6784236189e-01 
 657.774  1.2465723362e+00  1.7229950239e-01 
 658.599  1.2800750623e+00  1.7723963627e-01 
 659.425  1.3035436613e+00  1.8077209252e-01 
 660.251  1.3169028042e+00  1.8288161867e-01 
 661.077  1.3242826466e+00  1.8412756413e-01 
 661.903  1.3270786946e+00  1.8467740886e-01 
 662.728  1.3252383322e+00  1.8451702166e-01 
 663.554  1.3207407081e+00  1.8394736951e-01 
 664.380  1.3170156977e+00  1.8347689263e-01 
 665.206  1.3153662995e+00  1.8330097367e-01 
 666.031  1.3143952502e+00  1.8322391619e-01 
 666.857  1.3133211495e+00  1.8313269223e-01 
 667.683  1.3131493352e+00  1.8316302013e-01 
 668.508  1.3137169727e+00  1.8328542223e-01 
 669.334  1.3127009149e+00  1.8317087455e-01 
1503.952  2.1142981748e-01  2.0750491611e-02 
1509.148  2.2982044000e-01  2.3666267927e-02 
1514.333  2.3110729148e-01  2.4500154739e-02 
1519.509  2.3597336415e-01  2.5863814756e-02 
1524.675  2.3623775711e-01  2.6454933487e-02 
1529.831  2.3358912965e-01  2.6594674739e-02 
1534.978  2.3520499938e-01  2.7248358407e-02 
1540.114  2.3261708952e-01  2.7395789477e-02 
1545.242  2.3665184041e-01  2.8251510419e-02 
1550.360  2.3327317341e-01  2.8200883526e-02 
1555.468  2.2891973773e-01  2.7915358345e-02 
1560.567  2.3034089698e-01  2.8343196782e-02 
1565.657  2.2415838718e-01  2.7692017917e-02 
1570.738  2.1563985603e-01  2.6657156248e-02 
1575.809  2.0634553917e-01  2.5706295451e-02 
1580.872  2.1512588313e-01  2.6999382749e-02 
1585.926  2.1569073439e-01  2.7392482109e-02 
1590.971  2.0832651514e-01  2.6663008524e-02 
1596.007  2.1201707758e-01  2.7187983089e-02 
1601.035  2.0477900757e-01  2.6265319098e-02 
1606.054  2.0414754021e-01  2.6376238580e-02 
1611.064  1.9972490723e-01  2.5914175567e-02 
1616.066  2.0217955872e-01  2.6417901155e-02 
1621.060  2.0367155211e-01  2.6838145226e-02 
1626.045  2.0772994146e-01  2.7509080699e-02 
1631.023  2.0547030736e-01  2.7232308496e-02 
1635.992  1.9935194886e-01  2.6377330801e-02 
1640.954  1.9051730928e-01  2.5180727219e-02 
1645.907  1.9331070262e-01  2.5644665834e-02 
1650.852  1.9281623546e-01  2.5627756325e-02 
1655.790  1.9332610079e-01  2.5752300114e-02 
