 lambda   Irr_dw            Rad_up 
 630.512  1.3523719632e+00  1.3498965426e-01 
 631.338  1.3477349640e+00  1.3461962985e-01 
 632.164  1.3463278172e+00  1.3456577247e-01 
 632.991  1.3488341046e+00  1.3493409891e-01 
 633.817  1.3513830436e+00  1.3532150245e-01 
 634.643  1.3510912318e+00  1.3540665628e-01 
 635.470  1.3500596277e+00  1.3539755016e-01 
 636.296  1.3524368955e+00  1.3572759550e-01 
 637.122  1.3584858006e+00  1.3643169575e-01 
 637.948  1.3629791268e+00  1.3697806318e-01 
 638.775  1.3610686580e+00  1.3687152555e-01 
 639.601  1.3539760682e+00  1.3623200009e-01 
 640.427  1.3469387188e+00  1.3557967501e-01 
 641.253  1.3434021072e+00  1.3524676075e-01 
 642.079  1.3430605579e+00  1.3518727486e-01 
 642.905  1.3435535349e+00  1.3514777848e-01 
 643.732  1.3421137929e+00  1.3481751174e-01 
 644.558  1.3369677480e+00  1.3396730904e-01 
 645.384  1.3289159629e+00  1.3265526030e-01 
 646.210  1.3214620975e+00  1.3130794047e-01 
 647.036  1.3173279737e+00  1.3037164832e-01 
 647.862  1.3149133503e+00  1.2987573895e-01 
 648.688  1.3108087312e+00  1.2955805515e-01 
 649.514  1.3060535996e+00  1.2939896058e-01 
 650.340  1.3059173418e+00  1.2967931201e-01 
 651.166  1.3117330976e+00  1.3039797800e-01 
 651.992  1.3179917863e+00  1.3107830861e-01 
 652.818  1.3172257376e+00  1.3107325852e-01 
 653.644  1.3026618920e+00  1.2967898880e-01 
 654.470  1.2711512922e+00  1.2653587097e-01 
 655.296  1.2316458264e+00  1.2259320286e-01 
 656.122  1.2062409040e+00  1.2014461684e-01 
 656.948  1.2117472122e+00  1.2088974037e-01 
 657.774  1.2417018223e+00  1.2414023344e-01 
 658.599  1.2750632166e+00  1.2773991315e-01 
 659.425  1.2984312786e+00  1.3032379743e-01 
 660.251  1.3117315996e+00  1.3188080551e-01 
 661.077  1.3190792604e+00  1.3281155174e-01 
 661.903  1.3218666924e+00  1.3323212113e-01 
 662.728  1.3200422453e+00  1.3313126538e-01 
 663.554  1.3155750517e+00  1.3273052031e-01 
 664.380  1.3118785863e+00  1.3240200626e-01 
 665.206  1.3102492774e+00  1.3228868067e-01 
 666.031  1.3092952318e+00  1.3224826946e-01 
 666.857  1.3082386367e+00  1.3219818278e-01 
 667.683  1.3080814399e+00  1.3223572788e-01 
 668.508  1.3086616357e+00  1.3233738777e-01 
 669.334  1.3076650144e+00  1.3226344072e-01 
1503.952  2.1142337287e-01  1.8795632295e-02 
1509.148  2.2981120232e-01  2.1310220717e-02 
1514.333  2.3109604576e-01  2.1934765980e-02 
1519.509  2.3595926118e-01  2.2998956084e-02 
1524.675  2.3622226246e-01  2.3445603284e-02 
1529.831  2.3357186605e-01  2.3438038914e-02 
1534.978  2.3518547830e-01  2.3858458950e-02 
1540.114  2.3259606302e-01  2.3892876756e-02 
1545.242  2.3662838871e-01  2.4525716325e-02 
1550.360  2.3324832579e-01  2.4381397367e-02 
1555.468  2.2889390557e-01  2.4032774709e-02 
1560.567  2.3031406564e-01  2.4347258859e-02 
1565.657  2.2413161160e-01  2.3693323810e-02 
1570.738  2.1561455762e-01  2.2747506475e-02 
1575.809  2.0632066605e-01  2.1898752050e-02 
1580.872  2.1509855129e-01  2.2909098915e-02 
1585.926  2.1566153973e-01  2.3176206974e-02 
1590.971  2.0829750471e-01  2.2501780955e-02 
1596.007  2.1198770027e-01  2.2909199691e-02 
1601.035  2.0475133457e-01  2.2101593895e-02 
1606.054  2.0411964485e-01  2.2190843373e-02 
1611.064  1.9969690351e-01  2.1744496521e-02 
1616.066  2.0215004160e-01  2.2118070960e-02 
1621.060  2.0364103807e-01  2.2467187098e-02 
1626.045  2.0769835489e-01  2.3014163444e-02 
1631.023  2.0543943054e-01  2.2770458189e-02 
1635.992  1.9932236563e-01  2.2013268374e-02 
1640.954  1.9048916603e-01  2.0980401289e-02 
1645.907  1.9328257168e-01  2.1388501452e-02 
1650.852  1.9278820609e-01  2.1354425822e-02 
1655.790  1.9329782819e-01  2.1452170480e-02 
