 lambda   Irr_dw            Rad_up 
 630.512  1.3464829016e+00  9.2270120928e-02 
 631.338  1.3418568525e+00  9.2013513261e-02 
 632.164  1.3404475791e+00  9.1974157540e-02 
 632.991  1.3429333192e+00  9.2230068381e-02 
 633.817  1.3454635583e+00  9.2504361881e-02 
 634.643  1.3451711369e+00  9.2572368430e-02 
 635.470  1.3441462658e+00  9.2573508976e-02 
 636.296  1.3465152391e+00  9.2803536631e-02 
 637.122  1.3525376015e+00  9.3285646254e-02 
 637.948  1.3570105680e+00  9.3656393361e-02 
 638.775  1.3551101733e+00  9.3580163529e-02 
 639.601  1.3480544445e+00  9.3141322584e-02 
 640.427  1.3410581583e+00  9.2692333186e-02 
 641.253  1.3375523879e+00  9.2454219049e-02 
 642.079  1.3372342753e+00  9.2392245146e-02 
 642.905  1.3377554198e+00  9.2332583125e-02 
 643.732  1.3363640302e+00  9.2060476000e-02 
 644.558  1.3312992882e+00  9.1413437647e-02 
 645.384  1.3233596407e+00  9.0427728684e-02 
 646.210  1.3160239887e+00  8.9404987263e-02 
 647.036  1.3119830399e+00  8.8674363409e-02 
 647.862  1.3096234538e+00  8.8280818315e-02 
 648.688  1.3055427801e+00  8.8054712750e-02 
 649.514  1.3007907042e+00  8.7967481925e-02 
 650.340  1.3006418799e+00  8.8180591932e-02 
 651.166  1.3064379697e+00  8.8675174165e-02 
 651.992  1.3126833911e+00  8.9132568205e-02 
 652.818  1.3119295189e+00  8.9122179227e-02 
 653.644  1.2974339927e+00  8.8162439850e-02 
 654.470  1.2660661842e+00  8.6006641319e-02 
 655.296  1.2267362634e+00  8.3310689206e-02 
 656.122  1.2014412377e+00  8.1646442504e-02 
 656.948  1.2069217621e+00  8.2171403412e-02 
 657.774  1.2367451757e+00  8.4409892885e-02 
 658.599  1.2699600970e+00  8.6886765477e-02 
 659.425  1.2932232300e+00  8.8670043677e-02 
 660.251  1.3064610163e+00  8.9751844064e-02 
 661.077  1.3137731371e+00  9.0402000929e-02 
 661.903  1.3165490141e+00  9.0694867755e-02 
 662.728  1.3147381399e+00  9.0622325672e-02 
 663.554  1.3102994044e+00  9.0340539178e-02 
 664.380  1.3066294200e+00  9.0108978953e-02 
 665.206  1.3050178661e+00  9.0027229358e-02 
 666.031  1.3040783867e+00  8.9997176036e-02 
 666.857  1.3030368924e+00  8.9961278594e-02 
 667.683  1.3028919665e+00  8.9984991722e-02 
 668.508  1.3034825485e+00  9.0049511346e-02 
 669.334  1.3025035255e+00  8.9988688518e-02 
1503.952  2.1134518476e-01  1.1554573053e-02 
1509.148  2.2972145540e-01  1.3188831796e-02 
1514.333  2.3100417437e-01  1.3626304197e-02 
1519.509  2.3586086448e-01  1.4275057655e-02 
1524.675  2.3612275975e-01  1.4624393783e-02 
1529.831  2.3347140555e-01  1.4596721613e-02 
1534.978  2.3508235764e-01  1.4796192981e-02 
1540.114  2.3249277003e-01  1.4860598895e-02 
1545.242  2.3652135767e-01  1.5249133734e-02 
1550.360  2.3314181879e-01  1.5169747651e-02 
1555.468  2.2878883514e-01  1.4924221482e-02 
1560.567  2.3020946832e-01  1.5171913202e-02 
1565.657  2.2403247095e-01  1.4734137052e-02 
1570.738  2.1552483232e-01  1.4166944481e-02 
1575.809  2.0623461440e-01  1.3656056387e-02 
1580.872  2.1500706944e-01  1.4219454279e-02 
1585.926  2.1556683116e-01  1.4390900634e-02 
1590.971  2.0820623630e-01  1.3985014173e-02 
1596.007  2.1189765426e-01  1.4258596501e-02 
1601.035  2.0466820520e-01  1.3763754937e-02 
1606.054  2.0403689886e-01  1.3869507364e-02 
1611.064  1.9961539926e-01  1.3543440054e-02 
1616.066  2.0206513514e-01  1.3735013171e-02 
1621.060  2.0355383767e-01  1.3989963206e-02 
1626.045  2.0760885896e-01  1.4344703312e-02 
1631.023  2.0535284920e-01  1.4195245029e-02 
1635.992  1.9923984906e-01  1.3653877811e-02 
1640.954  1.9041142424e-01  1.2965463009e-02 
1645.907  1.9320544606e-01  1.3298626406e-02 
1650.852  1.9271215436e-01  1.3275260569e-02 
1655.790  1.9322134035e-01  1.3330968506e-02 
