 lambda   Irr_dw            Rad_up 
 630.512  1.3582669922e+00  1.8801739915e-01 
 631.338  1.3536162712e+00  1.8748182388e-01 
 632.164  1.3522085066e+00  1.8738929639e-01 
 632.991  1.3547326333e+00  1.8787822410e-01 
 633.817  1.3572976818e+00  1.8838809506e-01 
 634.643  1.3570039937e+00  1.8847734357e-01 
 635.470  1.3559631427e+00  1.8843820731e-01 
 636.296  1.3583460139e+00  1.8887384528e-01 
 637.122  1.3644185546e+00  1.8983314930e-01 
 637.948  1.3689292778e+00  1.9057608502e-01 
 638.775  1.3670059182e+00  1.9041055250e-01 
 639.601  1.3598738110e+00  1.8950039261e-01 
 640.427  1.3527927304e+00  1.8857205107e-01 
 641.253  1.3492225075e+00  1.8809447965e-01 
 642.079  1.3488547476e+00  1.8800851983e-01 
 642.905  1.3493169738e+00  1.8796371212e-01 
 643.732  1.3478267523e+00  1.8753169307e-01 
 644.558  1.3425980521e+00  1.8640155894e-01 
 645.384  1.3344336495e+00  1.8465816182e-01 
 646.210  1.3268615346e+00  1.8288154286e-01 
 647.036  1.3226337396e+00  1.8166193942e-01 
 647.862  1.3201623089e+00  1.8100942201e-01 
 648.688  1.3160306515e+00  1.8054834630e-01 
 649.514  1.3112688057e+00  1.8027112681e-01 
 650.340  1.3111417624e+00  1.8060665004e-01 
 651.166  1.3169744454e+00  1.8157578261e-01 
 651.992  1.3232439843e+00  1.8250665685e-01 
 652.818  1.3224634718e+00  1.8248552232e-01 
 653.644  1.3078295811e+00  1.8053637688e-01 
 654.470  1.2761755001e+00  1.7616222175e-01 
 655.296  1.2364943545e+00  1.7067180440e-01 
 656.122  1.2109785258e+00  1.6724162654e-01 
 656.948  1.2165076424e+00  1.6823405376e-01 
 657.774  1.2465888863e+00  1.7270011751e-01 
 658.599  1.2800919263e+00  1.7765022049e-01 
 659.425  1.3035606698e+00  1.8118935896e-01 
 660.251  1.3169198427e+00  1.8330229240e-01 
 661.077  1.3242996884e+00  1.8454967158e-01 
 661.903  1.3270957082e+00  1.8509931529e-01 
 662.728  1.3252552213e+00  1.8493703043e-01 
 663.554  1.3207573709e+00  1.8436450706e-01 
 664.380  1.3170321164e+00  1.8389136847e-01 
 665.206  1.3153825238e+00  1.8371339425e-01 
 666.031  1.3144113325e+00  1.8363441841e-01 
 666.857  1.3133371317e+00  1.8354118118e-01 
 667.683  1.3131652425e+00  1.8356973454e-01 
 668.508  1.3137327715e+00  1.8369059291e-01 
 669.334  1.3127165166e+00  1.8357415448e-01 
1503.952  2.1142612420e-01  2.0451232964e-02 
1509.148  2.2981630037e-01  2.3339723719e-02 
1514.333  2.3110317756e-01  2.4175284989e-02 
1519.509  2.3596910144e-01  2.5533563016e-02 
1524.675  2.3623349777e-01  2.6123445999e-02 
1529.831  2.3358494694e-01  2.6267453851e-02 
1534.978  2.3520086373e-01  2.6923371074e-02 
1540.114  2.3261309280e-01  2.7079919403e-02 
1545.242  2.3664776213e-01  2.7936215403e-02 
1550.360  2.3326918396e-01  2.7896182930e-02 
1555.468  2.2891593265e-01  2.7621829993e-02 
1560.567  2.3033721419e-01  2.8053250821e-02 
1565.657  2.2415495645e-01  2.7416059862e-02 
1570.738  2.1563684587e-01  2.6398305132e-02 
1575.809  2.0634270748e-01  2.5461646798e-02 
1580.872  2.1512291651e-01  2.6748055115e-02 
1585.926  2.1568777040e-01  2.7144571540e-02 
1590.971  2.0832370695e-01  2.6428128271e-02 
1596.007  2.1201435811e-01  2.6952946334e-02 
1601.035  2.0477654639e-01  2.6042470272e-02 
1606.054  2.0414511759e-01  2.6156017269e-02 
1611.064  1.9972253778e-01  2.5701236945e-02 
1616.066  2.0217715820e-01  2.6204342815e-02 
1621.060  2.0366910975e-01  2.6624528459e-02 
1626.045  2.0772737290e-01  2.7287830614e-02 
1631.023  2.0546789099e-01  2.7019364588e-02 
1635.992  1.9934970886e-01  2.6172245310e-02 
1640.954  1.9051523309e-01  2.4986247415e-02 
1645.907  1.9330864688e-01  2.5449515743e-02 
1650.852  1.9281423475e-01  2.5435113920e-02 
1655.790  1.9332408688e-01  2.5559590437e-02 
