 lambda   Irr_dw            Rad_up 
 630.512  1.3513234157e+00  1.2821706721e-01 
 631.338  1.3466873597e+00  1.2785584107e-01 
 632.164  1.3452788830e+00  1.2779664024e-01 
 632.991  1.3477805788e+00  1.2814031674e-01 
 633.817  1.3503252964e+00  1.2850334286e-01 
 634.643  1.3500325617e+00  1.2857948445e-01 
 635.470  1.3490013817e+00  1.2856572625e-01 
 636.296  1.3513763299e+00  1.2887353130e-01 
 637.122  1.3574195447e+00  1.2953584482e-01 
 637.948  1.3619082280e+00  1.3004762565e-01 
 638.775  1.3599985699e+00  1.2993907088e-01 
 639.601  1.3529116037e+00  1.2932427371e-01 
 640.427  1.3458806147e+00  1.2869632426e-01 
 641.253  1.3423485051e+00  1.2836950615e-01 
 642.079  1.3420101289e+00  1.2829982391e-01 
 642.905  1.3425071757e+00  1.2824691595e-01 
 643.732  1.3410752550e+00  1.2791561125e-01 
 644.558  1.3359431587e+00  1.2708754063e-01 
 645.384  1.3279110546e+00  1.2581729554e-01 
 646.210  1.3204779912e+00  1.2451143209e-01 
 647.036  1.3163599558e+00  1.2359760660e-01 
 647.862  1.3139542185e+00  1.2310804495e-01 
 648.688  1.3098527014e+00  1.2279578169e-01 
 649.514  1.3050970549e+00  1.2263957763e-01 
 650.340  1.3049577816e+00  1.2290051629e-01 
 651.166  1.3107694158e+00  1.2357438508e-01 
 651.992  1.3170250503e+00  1.2421034015e-01 
 652.818  1.3162603673e+00  1.2419676431e-01 
 653.644  1.3017080327e+00  1.2286621309e-01 
 654.470  1.2702226077e+00  1.1987762592e-01 
 655.296  1.2307484105e+00  1.1613224046e-01 
 656.122  1.2053628037e+00  1.1380508732e-01 
 656.948  1.2108635712e+00  1.1450650017e-01 
 657.774  1.2407932681e+00  1.1758295134e-01 
 658.599  1.2741268811e+00  1.2099020996e-01 
 659.425  1.2974747108e+00  1.2343440373e-01 
 660.251  1.3107625180e+00  1.2490485704e-01 
 661.077  1.3181026004e+00  1.2578064584e-01 
 661.903  1.3208868896e+00  1.2617114868e-01 
 662.728  1.3190639626e+00  1.2606589498e-01 
 663.554  1.3146010481e+00  1.2567578751e-01 
 664.380  1.3109085037e+00  1.2535436193e-01 
 665.206  1.3092815113e+00  1.2523732739e-01 
 666.031  1.3083291951e+00  1.2518965114e-01 
 666.857  1.3072744249e+00  1.2513277541e-01 
 667.683  1.3071185358e+00  1.2515867690e-01 
 668.508  1.3076997093e+00  1.2524471065e-01 
 669.334  1.3067054215e+00  1.2516347038e-01 
1503.952  2.1138252675e-01  1.5343126218e-02 
1509.148  2.2976498129e-01  1.7487466690e-02 
1514.333  2.3104940712e-01  1.8071774092e-02 
1519.509  2.3591015027e-01  1.9003723030e-02 
1524.675  2.3617302172e-01  1.9436855608e-02 
1529.831  2.3352282064e-01  1.9469278588e-02 
1534.978  2.3513589119e-01  1.9847519567e-02 
1540.114  2.3254694212e-01  1.9931261644e-02 
1545.242  2.3657810854e-01  2.0499155168e-02 
1550.360  2.3319886294e-01  2.0420557742e-02 
1555.468  2.2884563047e-01  2.0151479830e-02 
1560.567  2.3026638306e-01  2.0458256821e-02 
1565.657  2.2408696785e-01  1.9926143435e-02 
1570.738  2.1557450871e-01  1.9159281814e-02 
1575.809  2.0628246780e-01  1.8465666654e-02 
1580.872  2.1505831469e-01  1.9318321433e-02 
1585.926  2.1562019700e-01  1.9569512647e-02 
1590.971  2.0825796946e-01  1.9025245447e-02 
1596.007  2.1194882237e-01  1.9385784779e-02 
1601.035  2.0471573448e-01  1.8718637266e-02 
1606.054  2.0408432892e-01  1.8818678348e-02 
1611.064  1.9966231869e-01  1.8436848684e-02 
1616.066  2.0211414555e-01  1.8751164546e-02 
1621.060  2.0360420195e-01  1.9066220351e-02 
1626.045  2.0766062586e-01  1.9539656455e-02 
1631.023  2.0540303019e-01  1.9336832048e-02 
1635.992  1.9928776691e-01  1.8673670656e-02 
1640.954  1.9045668708e-01  1.7784695909e-02 
1645.907  1.9325036871e-01  1.8160052541e-02 
1650.852  1.9275655490e-01  1.8135539178e-02 
1655.790  1.9326600343e-01  1.8216291230e-02 
