 lambda   Irr_dw            Rad_up 
 630.512  1.3584316792e+00  1.8945817204e-01 
 631.338  1.3537806079e+00  1.8891839294e-01 
 632.164  1.3523728386e+00  1.8882524266e-01 
 632.991  1.3548974215e+00  1.8931795116e-01 
 633.817  1.3574628547e+00  1.8983170867e-01 
 634.643  1.3571691096e+00  1.8992167544e-01 
 635.470  1.3561281136e+00  1.8988234786e-01 
 636.296  1.3585113412e+00  1.9032144415e-01 
 637.122  1.3645847370e+00  1.9128822152e-01 
 637.948  1.3690960444e+00  1.9203702773e-01 
 638.775  1.3671723099e+00  1.9187044504e-01 
 639.601  1.3600390749e+00  1.9095351075e-01 
 640.427  1.3529568522e+00  1.9001828187e-01 
 641.253  1.3493858482e+00  1.8953738474e-01 
 642.079  1.3490174837e+00  1.8945122588e-01 
 642.905  1.3494789039e+00  1.8940671255e-01 
 643.732  1.3479872600e+00  1.8897234898e-01 
 644.558  1.3427561403e+00  1.8783500804e-01 
 645.384  1.3345883400e+00  1.8608018625e-01 
 646.210  1.3270126364e+00  1.8429203843e-01 
 647.036  1.3227821806e+00  1.8306479209e-01 
 647.862  1.3203095081e+00  1.8240815657e-01 
 648.688  1.3161776194e+00  1.8194347947e-01 
 649.514  1.3114159729e+00  1.8166346822e-01 
 650.340  1.3112893695e+00  1.8200101936e-01 
 651.166  1.3171226086e+00  1.8297761055e-01 
 651.992  1.3233924606e+00  1.8391598732e-01 
 652.818  1.3226114571e+00  1.8389498324e-01 
 653.644  1.3079754897e+00  1.8193108937e-01 
 654.470  1.2763173308e+00  1.7752359944e-01 
 655.296  1.2366312579e+00  1.7199118112e-01 
 656.122  1.2111123242e+00  1.6853456546e-01 
 656.948  1.2166420653e+00  1.6953429700e-01 
 657.774  1.2467268330e+00  1.7403425283e-01 
 658.599  1.2802338460e+00  1.7902193184e-01 
 659.425  1.3037054714e+00  1.8258772084e-01 
 660.251  1.3170663870e+00  1.8471624809e-01 
 661.077  1.3244472033e+00  1.8597265546e-01 
 661.903  1.3272434796e+00  1.8652633247e-01 
 662.728  1.3254025507e+00  1.8636305825e-01 
 663.554  1.3209039034e+00  1.8578662017e-01 
 664.380  1.3171779596e+00  1.8531028719e-01 
 665.206  1.3155279256e+00  1.8513127444e-01 
 666.031  1.3145563558e+00  1.8505196745e-01 
 666.857  1.3134817259e+00  1.8495824707e-01 
 667.683  1.3133094561e+00  1.8498722030e-01 
 668.508  1.3138766559e+00  1.8510930174e-01 
 669.334  1.3128598977e+00  1.8499246734e-01 
1503.952  2.1142788942e-01  2.0632780453e-02 
1509.148  2.2981833772e-01  2.3544826374e-02 
1514.333  2.3110526914e-01  2.4386336161e-02 
1519.509  2.3597134512e-01  2.5756014012e-02 
1524.675  2.3623578342e-01  2.6350552985e-02 
1529.831  2.3358725560e-01  2.6496824897e-02 
1534.978  2.3520319561e-01  2.7159009721e-02 
1540.114  2.3261543410e-01  2.7315852521e-02 
1545.242  2.3665025076e-01  2.8179357574e-02 
1550.360  2.3327165858e-01  2.8138438634e-02 
1555.468  2.2891835379e-01  2.7861972208e-02 
1560.567  2.3033960132e-01  2.8296048867e-02 
1565.657  2.2415726974e-01  2.7653800046e-02 
1570.738  2.1563892512e-01  2.6626885540e-02 
1575.809  2.0634469264e-01  2.5681619309e-02 
1580.872  2.1512503865e-01  2.6979989353e-02 
1585.926  2.1568992453e-01  2.7379593170e-02 
1590.971  2.0832583738e-01  2.6656639735e-02 
1596.007  2.1201643121e-01  2.7185651434e-02 
1601.035  2.0477847859e-01  2.6267122657e-02 
1606.054  2.0414703516e-01  2.6380739425e-02 
1611.064  1.9972444273e-01  2.5922754149e-02 
1616.066  2.0217911873e-01  2.6430612712e-02 
1621.060  2.0367113422e-01  2.6853551405e-02 
1626.045  2.0772948008e-01  2.7522385899e-02 
1631.023  2.0546992514e-01  2.7251685290e-02 
1635.992  1.9935164175e-01  2.6398347345e-02 
1640.954  1.9051703925e-01  2.5202935055e-02 
1645.907  1.9331044285e-01  2.5668887006e-02 
1650.852  1.9281601332e-01  2.5654141340e-02 
1655.790  1.9332584893e-01  2.5778522700e-02 
