 lambda   Irr_dw            Rad_up 
 630.512  1.3607499425e+00  2.1175957605e-01 
 631.338  1.3560932717e+00  2.1115214572e-01 
 632.164  1.3546851121e+00  2.1104250359e-01 
 632.991  1.3572166339e+00  2.1158465892e-01 
 633.817  1.3597883699e+00  2.1214834630e-01 
 634.643  1.3594938380e+00  2.1223844417e-01 
 635.470  1.3584490974e+00  2.1218486495e-01 
 636.296  1.3608343812e+00  2.1266659932e-01 
 637.122  1.3669169156e+00  2.1373872687e-01 
 637.948  1.3714349285e+00  2.1456822936e-01 
 638.775  1.3695060620e+00  2.1437541058e-01 
 639.601  1.3623573006e+00  2.1334425545e-01 
 640.427  1.3552578919e+00  2.1229356191e-01 
 641.253  1.3516736326e+00  2.1175316125e-01 
 642.079  1.3512949093e+00  2.1165767939e-01 
 642.905  1.3517441901e+00  2.1161307948e-01 
 643.732  1.3502326261e+00  2.1113831292e-01 
 644.558  1.3449689161e+00  2.0988581551e-01 
 645.384  1.3367567553e+00  2.0795226983e-01 
 646.210  1.3291344718e+00  2.0598629719e-01 
 647.036  1.3248670446e+00  2.0464261641e-01 
 647.862  1.3223718216e+00  2.0392267916e-01 
 648.688  1.3182290998e+00  2.0339982243e-01 
 649.514  1.3134647808e+00  2.0307164020e-01 
 650.340  1.3133419764e+00  2.0343329639e-01 
 651.166  1.3191820970e+00  2.0451556224e-01 
 651.992  1.3254562919e+00  2.0555910467e-01 
 652.818  1.3246694701e+00  2.0553071088e-01 
 653.644  1.3100057326e+00  2.0333263857e-01 
 654.470  1.2782909812e+00  1.9840662104e-01 
 655.296  1.2385357653e+00  1.9222265582e-01 
 656.122  1.2129732260e+00  1.8835290230e-01 
 656.948  1.2185119402e+00  1.8945660829e-01 
 657.774  1.2486464727e+00  1.9446784631e-01 
 658.599  1.2822091211e+00  2.0002356647e-01 
 659.425  1.3057202555e+00  2.0399157111e-01 
 660.251  1.3191042204e+00  2.0635509198e-01 
 661.077  1.3264975728e+00  2.0774655302e-01 
 661.903  1.3292970489e+00  2.0835677781e-01 
 662.728  1.3274495826e+00  2.0817004473e-01 
 663.554  1.3229386487e+00  2.0752386071e-01 
 664.380  1.3192011970e+00  2.0698943863e-01 
 665.206  1.3175430460e+00  2.0678614974e-01 
 666.031  1.3165646365e+00  2.0669355757e-01 
 666.857  1.3154830424e+00  2.0658471375e-01 
 667.683  1.3153049915e+00  2.0661314229e-01 
 668.508  1.3158671844e+00  2.0674657099e-01 
 669.334  1.3148426367e+00  2.0661489574e-01 
1503.952  2.1141910293e-01  2.0375533224e-02 
1509.148  2.2980921356e-01  2.3346812065e-02 
1514.333  2.3109690617e-01  2.4269330436e-02 
1519.509  2.3596351418e-01  2.5726222559e-02 
1524.675  2.3622858202e-01  2.6376745834e-02 
1529.831  2.3358089617e-01  2.6596523665e-02 
1534.978  2.3519775432e-01  2.7357068653e-02 
1540.114  2.3261090584e-01  2.7596052483e-02 
1545.242  2.3664651229e-01  2.8552842888e-02 
1550.360  2.3326889763e-01  2.8591398978e-02 
1555.468  2.2891650384e-01  2.8384638637e-02 
1560.567  2.3033847814e-01  2.8885808510e-02 
1565.657  2.2415699668e-01  2.8300687246e-02 
1570.738  2.1563938340e-01  2.7307933452e-02 
1575.809  2.0634556937e-01  2.6376968579e-02 
1580.872  2.1512658764e-01  2.7770422115e-02 
1585.926  2.1569218656e-01  2.8241446951e-02 
1590.971  2.0832862808e-01  2.7550945673e-02 
1596.007  2.1201971722e-01  2.8136072835e-02 
1601.035  2.0478191077e-01  2.7220797776e-02 
1606.054  2.0415073154e-01  2.7360552086e-02 
1611.064  1.9972846382e-01  2.6926249098e-02 
1616.066  2.0218366481e-01  2.7490384249e-02 
1621.060  2.0367603478e-01  2.7949831571e-02 
1626.045  2.0773470423e-01  2.8665004546e-02 
1631.023  2.0547524365e-01  2.8403141980e-02 
1635.992  1.9935688426e-01  2.7538110616e-02 
1640.954  1.9052220792e-01  2.6314145716e-02 
1645.907  1.9331578852e-01  2.6810828176e-02 
1650.852  1.9282150654e-01  2.6818903389e-02 
1655.790  1.9333152215e-01  2.6960904856e-02 
