 lambda   Irr_dw            Rad_up 
 630.512  1.3609831180e+00  2.1273308742e-01 
 631.338  1.3563265924e+00  2.1212605646e-01 
 632.164  1.3549191098e+00  2.1202085257e-01 
 632.991  1.3574520778e+00  2.1257116586e-01 
 633.817  1.3600252316e+00  2.1314328050e-01 
 634.643  1.3597314211e+00  2.1323964258e-01 
 635.470  1.3586870874e+00  2.1319165807e-01 
 636.296  1.3610733084e+00  2.1368149735e-01 
 637.122  1.3671574249e+00  2.1476457094e-01 
 637.948  1.3716766982e+00  2.1560382586e-01 
 638.775  1.3697478115e+00  2.1541545487e-01 
 639.601  1.3625979316e+00  2.1438378343e-01 
 640.427  1.3554972820e+00  2.1333132128e-01 
 641.253  1.3519122614e+00  2.1279068774e-01 
 642.079  1.3515330853e+00  2.1269663527e-01 
 642.905  1.3519816867e+00  2.1265358529e-01 
 643.732  1.3504685916e+00  2.1217836954e-01 
 644.558  1.3452019439e+00  2.1092185436e-01 
 645.384  1.3369854540e+00  2.0898126802e-01 
 646.210  1.3293584731e+00  2.0700831106e-01 
 647.036  1.3250874191e+00  2.0566057629e-01 
 647.862  1.3225903770e+00  2.0493914678e-01 
 648.688  1.3184473475e+00  2.0441523653e-01 
 649.514  1.3136835886e+00  2.0408700077e-01 
 650.340  1.3135618471e+00  2.0445290344e-01 
 651.166  1.3194032265e+00  2.0554422753e-01 
 651.992  1.3256783690e+00  2.0659743891e-01 
 652.818  1.3248913541e+00  2.0657352525e-01 
 653.644  1.3102249718e+00  2.0436888859e-01 
 654.470  1.2785044189e+00  1.9942229308e-01 
 655.296  1.2387421185e+00  1.9321109491e-01 
 656.122  1.2131754369e+00  1.8932573335e-01 
 656.948  1.2187158970e+00  1.9043931265e-01 
 657.774  1.2488567011e+00  1.9548062320e-01 
 658.599  1.2824262207e+00  2.0106921284e-01 
 659.425  1.3059423631e+00  2.0506158334e-01 
 660.251  1.3193294752e+00  2.0744065381e-01 
 661.077  1.3267248570e+00  2.0884220935e-01 
 661.903  1.3295254364e+00  2.0945831464e-01 
 662.728  1.3276780865e+00  2.0927330233e-01 
 663.554  1.3231666478e+00  2.0862637448e-01 
 664.380  1.3194287256e+00  2.0809157055e-01 
 665.206  1.3177704255e+00  2.0788941949e-01 
 666.031  1.3167919822e+00  2.0779854020e-01 
 666.857  1.3157103259e+00  2.0769147275e-01 
 667.683  1.3155323167e+00  2.0772246036e-01 
 668.508  1.3160945793e+00  2.0785889978e-01 
 669.334  1.3150697115e+00  2.0772873043e-01 
1503.952  2.1144571764e-01  2.2656432197e-02 
1509.148  2.2983919718e-01  2.5858098997e-02 
1514.333  2.3112697918e-01  2.6793947418e-02 
1519.509  2.3599493573e-01  2.8320531518e-02 
1524.675  2.3625990475e-01  2.8976839970e-02 
1529.831  2.3361188385e-01  2.9160494999e-02 
1534.978  2.3522878362e-01  2.9921459837e-02 
1540.114  2.3264136130e-01  3.0105475593e-02 
1545.242  2.3667745144e-01  3.1076370130e-02 
1550.360  2.3329904206e-01  3.1047186658e-02 
1555.468  2.2894562522e-01  3.0764785489e-02 
1560.567  2.3036701666e-01  3.1249596976e-02 
1565.657  2.2418350321e-01  3.0564993705e-02 
1570.738  2.1566293589e-01  2.9443395358e-02 
1575.809  2.0636787075e-01  2.8404020458e-02 
1580.872  2.1514982588e-01  2.9866163910e-02 
1585.926  2.1571583225e-01  3.0321844709e-02 
1590.971  2.0835097038e-01  2.9533434695e-02 
1596.007  2.1204146702e-01  3.0127116499e-02 
1601.035  2.0480163460e-01  2.9116847038e-02 
1606.054  2.0417025052e-01  2.9239197969e-02 
1611.064  1.9974739982e-01  2.8750762729e-02 
1616.066  2.0220310504e-01  2.9328885820e-02 
1621.060  2.0369582790e-01  2.9794721876e-02 
1626.045  2.0775487722e-01  3.0538845728e-02 
1631.023  2.0549460000e-01  3.0243783841e-02 
1635.992  1.9937514635e-01  2.9316452171e-02 
1640.954  1.9053926146e-01  2.8003945445e-02 
1645.907  1.9333258332e-01  2.8509269433e-02 
1650.852  1.9283789087e-01  2.8499555807e-02 
1655.790  1.9334791810e-01  2.8642990390e-02 
