 lambda   Irr_dw            Rad_up 
 630.512  1.3502625515e+00  1.2056884199e-01 
 631.338  1.3456282351e+00  1.2022855199e-01 
 632.164  1.3442191128e+00  1.2017073480e-01 
 632.991  1.3467167965e+00  1.2049225221e-01 
 633.817  1.3492578072e+00  1.2083273919e-01 
 634.643  1.3489646378e+00  1.2090345043e-01 
 635.470  1.3479344063e+00  1.2088912933e-01 
 636.296  1.3503076746e+00  1.2117661598e-01 
 637.122  1.3563459673e+00  1.2179683314e-01 
 637.948  1.3608308297e+00  1.2227503343e-01 
 638.775  1.3589227704e+00  1.2217016075e-01 
 639.601  1.3518421714e+00  1.2159013839e-01 
 640.427  1.3448183238e+00  1.2099819709e-01 
 641.253  1.3412915883e+00  1.2068869761e-01 
 642.079  1.3409573113e+00  1.2061937963e-01 
 642.905  1.3414593431e+00  1.2056379846e-01 
 643.732  1.3400360854e+00  1.2024380479e-01 
 644.558  1.3349186575e+00  1.1945297414e-01 
 645.384  1.3269068768e+00  1.1824206615e-01 
 646.210  1.3194953344e+00  1.1699532459e-01 
 647.036  1.3153943524e+00  1.1611944949e-01 
 647.862  1.3129987111e+00  1.1564942136e-01 
 648.688  1.3089014495e+00  1.1535467717e-01 
 649.514  1.3041460097e+00  1.1521208232e-01 
 650.340  1.3040039869e+00  1.1546105808e-01 
 651.166  1.3098116507e+00  1.1609416667e-01 
 651.992  1.3160645883e+00  1.1668909125e-01 
 652.818  1.3153018580e+00  1.1667330242e-01 
 653.644  1.3007616278e+00  1.1541939968e-01 
 654.470  1.2693017767e+00  1.1260665765e-01 
 655.296  1.2298590726e+00  1.0908370897e-01 
 656.122  1.2044930532e+00  1.0689606689e-01 
 656.948  1.2099888432e+00  1.0755675361e-01 
 657.774  1.2398945227e+00  1.1045044328e-01 
 658.599  1.2732014058e+00  1.1365535946e-01 
 659.425  1.2965300341e+00  1.1595580351e-01 
 660.251  1.3098062701e+00  1.1734212104e-01 
 661.077  1.3171396161e+00  1.1816995997e-01 
 661.903  1.3199215048e+00  1.1854080703e-01 
 662.728  1.3181007659e+00  1.1844426387e-01 
 663.554  1.3136427536e+00  1.1807919824e-01 
 664.380  1.3099547124e+00  1.1777878244e-01 
 665.206  1.3083305903e+00  1.1767093331e-01 
 666.031  1.3073805693e+00  1.1762866870e-01 
 666.857  1.3063282392e+00  1.1757810009e-01 
 667.683  1.3061743235e+00  1.1760546086e-01 
 668.508  1.3067571632e+00  1.1768863621e-01 
 669.334  1.3057658891e+00  1.1761303820e-01 
1503.952  2.1136137148e-01  1.3596504161e-02 
1509.148  2.2974088425e-01  1.5539240911e-02 
1514.333  2.3102496839e-01  1.6087052382e-02 
1519.509  2.3588424340e-01  1.6931273193e-02 
1524.675  2.3614699576e-01  1.7339676542e-02 
1529.831  2.3349676340e-01  1.7372236132e-02 
1534.978  2.3510942585e-01  1.7714010683e-02 
1540.114  2.3252063373e-01  1.7815101079e-02 
1545.242  2.3655108407e-01  1.8338677700e-02 
1550.360  2.3317216643e-01  1.8286655518e-02 
1555.468  2.2881951607e-01  1.8052550138e-02 
1560.567  2.3024054836e-01  1.8350405052e-02 
1565.657  2.2406263682e-01  1.7878707165e-02 
1570.738  2.1555265557e-01  1.7205643603e-02 
1575.809  2.0626160302e-01  1.6593755797e-02 
1580.872  2.1503626706e-01  1.7354589646e-02 
1585.926  2.1559751115e-01  1.7592527732e-02 
1590.971  2.0823627305e-01  1.7116001288e-02 
1596.007  2.1192746459e-01  1.7449135072e-02 
1601.035  2.0469614400e-01  1.6858060697e-02 
1606.054  2.0406486277e-01  1.6964342457e-02 
1611.064  1.9964324986e-01  1.6615668660e-02 
1616.066  2.0209438611e-01  1.6895466858e-02 
1621.060  2.0358396366e-01  1.7192256500e-02 
1626.045  2.0763984828e-01  1.7625665229e-02 
1631.023  2.0538302538e-01  1.7446302667e-02 
1635.992  1.9926876968e-01  1.6834796703e-02 
1640.954  1.9043884575e-01  1.6025318015e-02 
1645.907  1.9323268960e-01  1.6384714795e-02 
1650.852  1.9273917771e-01  1.6365540243e-02 
1655.790  1.9324856204e-01  1.6438794763e-02 
