 lambda   Irr_dw            Rad_up 
 630.512  1.3462843656e+00  9.0461395989e-02 
 631.338  1.3416588661e+00  9.0213923022e-02 
 632.164  1.3402497586e+00  9.0178361568e-02 
 632.991  1.3427351458e+00  9.0432176934e-02 
 633.817  1.3452651642e+00  9.0704177335e-02 
 634.643  1.3449731492e+00  9.0773930613e-02 
 635.470  1.3439488998e+00  9.0778031474e-02 
 636.296  1.3463179239e+00  9.1006452540e-02 
 637.122  1.3523396791e+00  9.1481870591e-02 
 637.948  1.3568122557e+00  9.1847837379e-02 
 638.775  1.3549125214e+00  9.1775367771e-02 
 639.601  1.3478583518e+00  9.1347326835e-02 
 640.427  1.3408637614e+00  9.0909240795e-02 
 641.253  1.3373593845e+00  9.0677607853e-02 
 642.079  1.3370424697e+00  9.0618206871e-02 
 642.905  1.3375649443e+00  9.0560436195e-02 
 643.732  1.3361754519e+00  9.0293439397e-02 
 644.558  1.3311136246e+00  8.9657527438e-02 
 645.384  1.3231779198e+00  8.8688158854e-02 
 646.210  1.3158463825e+00  8.7681803066e-02 
 647.036  1.3118085406e+00  8.6962611188e-02 
 647.862  1.3094506260e+00  8.6575923819e-02 
 648.688  1.3053706906e+00  8.6355570116e-02 
 649.514  1.3006189662e+00  8.6272181484e-02 
 650.340  1.3004701778e+00  8.6481948823e-02 
 651.166  1.3062660664e+00  8.6965280223e-02 
 651.992  1.3125114519e+00  8.7410428233e-02 
 652.818  1.3117583783e+00  8.7396256401e-02 
 653.644  1.2972654606e+00  8.6450786685e-02 
 654.470  1.2659025976e+00  8.4332174078e-02 
 655.296  1.2265785993e+00  8.1684192557e-02 
 656.122  1.2012873586e+00  8.0048728284e-02 
 656.948  1.2067673399e+00  8.0560749602e-02 
 657.774  1.2365868661e+00  8.2753435213e-02 
 658.599  1.2697974228e+00  8.5180166436e-02 
 659.425  1.2930575311e+00  8.6927496485e-02 
 660.251  1.3062936895e+00  8.7988268790e-02 
 661.077  1.3136050941e+00  8.8626994475e-02 
 661.903  1.3163810042e+00  8.8915836361e-02 
 662.728  1.3145708780e+00  8.8846262576e-02 
 663.554  1.3101333062e+00  8.8571427370e-02 
 664.380  1.3064644505e+00  8.8345989149e-02 
 665.206  1.3048538041e+00  8.8267661734e-02 
 666.031  1.3039151474e+00  8.8240168206e-02 
 666.857  1.3028744751e+00  8.8207072263e-02 
 667.683  1.3027302460e+00  8.8232524206e-02 
 668.508  1.3033214077e+00  8.8297847313e-02 
 669.334  1.3023431367e+00  8.8239854665e-02 
1503.952  2.1134999131e-01  1.1853386837e-02 
1509.148  2.2972680325e-01  1.3513164070e-02 
1514.333  2.3100948084e-01  1.3946933784e-02 
1519.509  2.3586631767e-01  1.4596832920e-02 
1524.675  2.3612815875e-01  1.4938034243e-02 
1529.831  2.3347669215e-01  1.4894163566e-02 
1534.978  2.3508758025e-01  1.5086838236e-02 
1540.114  2.3249787128e-01  1.5142336535e-02 
1545.242  2.3652648479e-01  1.5528913858e-02 
1550.360  2.3314677121e-01  1.5439248327e-02 
1555.468  2.2879357226e-01  1.5182965042e-02 
1560.567  2.3021407081e-01  1.5428471871e-02 
1565.657  2.2403670357e-01  1.4978070926e-02 
1570.738  2.1552854220e-01  1.4396597659e-02 
1575.809  2.0623811776e-01  1.3874180964e-02 
1580.872  2.1501070638e-01  1.4443214905e-02 
1585.926  2.1557051258e-01  1.4612263125e-02 
1590.971  2.0820972205e-01  1.4195660624e-02 
1596.007  2.1190080163e-01  1.4461229258e-02 
1601.035  2.0467122130e-01  1.3965377939e-02 
1606.054  2.0403993251e-01  1.4071470582e-02 
1611.064  1.9961833735e-01  1.3739485689e-02 
1616.066  2.0206814927e-01  1.3932478068e-02 
1621.060  2.0355693097e-01  1.4189618974e-02 
1626.045  2.0761202851e-01  1.4548877731e-02 
1631.023  2.0535590377e-01  1.4397021137e-02 
1635.992  1.9924273768e-01  1.3849175630e-02 
1640.954  1.9041410580e-01  1.3152698965e-02 
1645.907  1.9320809204e-01  1.3493568445e-02 
1650.852  1.9271476210e-01  1.3473093833e-02 
1655.790  1.9322397016e-01  1.3530449128e-02 
