 lambda   Irr_dw            Rad_up 
 630.512  1.3471062956e+00  9.5839327767e-02 
 631.338  1.3424794058e+00  9.5578118303e-02 
 632.164  1.3410707118e+00  9.5541330820e-02 
 632.991  1.3435589902e+00  9.5809905135e-02 
 633.817  1.3460915368e+00  9.6096702141e-02 
 634.643  1.3457995019e+00  9.6169121114e-02 
 635.470  1.3447742992e+00  9.6172445671e-02 
 636.296  1.3471445909e+00  9.6414026221e-02 
 637.122  1.3531702155e+00  9.6918044301e-02 
 637.948  1.3576457782e+00  9.7306892364e-02 
 638.775  1.3557447337e+00  9.7231563659e-02 
 639.601  1.3486854631e+00  9.6779513639e-02 
 640.427  1.3416851226e+00  9.6317491903e-02 
 641.253  1.3381763437e+00  9.6075958051e-02 
 642.079  1.3378560127e+00  9.6019098398e-02 
 642.905  1.3383744546e+00  9.5966118390e-02 
 643.732  1.3369782016e+00  9.5693975483e-02 
 644.558  1.3319050255e+00  9.5034502366e-02 
 645.384  1.3239535644e+00  9.4025903959e-02 
 646.210  1.3166053210e+00  9.2980513159e-02 
 647.036  1.3125543174e+00  9.2237385072e-02 
 647.862  1.3101887657e+00  9.1839860660e-02 
 648.688  1.3061057163e+00  9.1609766803e-02 
 649.514  1.3013538184e+00  9.1518253986e-02 
 650.340  1.3012069388e+00  9.1736025978e-02 
 651.166  1.3070056239e+00  9.2245668109e-02 
 651.992  1.3132528709e+00  9.2715954843e-02 
 652.818  1.3124981209e+00  9.2698974159e-02 
 653.644  1.2979957181e+00  9.1694984044e-02 
 654.470  1.2666129906e+00  8.9448002936e-02 
 655.296  1.2272645609e+00  8.6638922331e-02 
 656.122  1.2019580411e+00  8.4900736477e-02 
 656.948  1.2074416385e+00  8.5436759604e-02 
 657.774  1.2372794429e+00  8.7753331774e-02 
 658.599  1.2705104063e+00  9.0318098006e-02 
 659.425  1.2937851697e+00  9.2163333391e-02 
 660.251  1.3070301005e+00  9.3281845439e-02 
 661.077  1.3143464961e+00  9.3954782244e-02 
 661.903  1.3171240356e+00  9.4259396135e-02 
 662.728  1.3153120583e+00  9.4186424342e-02 
 663.554  1.3108705780e+00  9.3896962839e-02 
 664.380  1.3071980523e+00  9.3659693422e-02 
 665.206  1.3055849043e+00  9.3577718843e-02 
 666.031  1.3046441989e+00  9.3549160960e-02 
 666.857  1.3036014571e+00  9.3514394203e-02 
 667.683  1.3034556011e+00  9.3541581313e-02 
 668.508  1.3040454270e+00  9.3611549237e-02 
 669.334  1.3030648278e+00  9.3551964626e-02 
1503.952  2.1136108081e-01  1.2796158925e-02 
1509.148  2.2973950953e-01  1.4569116621e-02 
1514.333  2.3102248844e-01  1.5026411418e-02 
1519.509  2.3588024662e-01  1.5730220564e-02 
1524.675  2.3614224665e-01  1.6083822774e-02 
1529.831  2.3349091008e-01  1.6043421836e-02 
1534.978  2.3510217670e-01  1.6265252929e-02 
1540.114  2.3251246377e-01  1.6316211560e-02 
1545.242  2.3654157274e-01  1.6737333515e-02 
1550.360  2.3316181585e-01  1.6641603320e-02 
1555.468  2.2880842963e-01  1.6371939913e-02 
1560.567  2.3022885936e-01  1.6625092206e-02 
1565.657  2.2405070330e-01  1.6146217416e-02 
1570.738  2.1554122559e-01  1.5514533664e-02 
1575.809  2.0625026653e-01  1.4947699862e-02 
1580.872  2.1502362847e-01  1.5575416815e-02 
1585.926  2.1558389258e-01  1.5756545922e-02 
1590.971  2.0822260032e-01  1.5304433893e-02 
1596.007  2.1191353502e-01  1.5588217570e-02 
1601.035  2.0468296807e-01  1.5050071546e-02 
1606.054  2.0405159912e-01  1.5153230361e-02 
1611.064  1.9962982971e-01  1.4805934156e-02 
1616.066  2.0208012156e-01  1.5023009074e-02 
1621.060  2.0356926013e-01  1.5291966630e-02 
1626.045  2.0762466014e-01  1.5676003364e-02 
1631.023  2.0536810758e-01  1.5511641397e-02 
1635.992  1.9925437939e-01  1.4936416626e-02 
1640.954  1.9042508252e-01  1.4196221840e-02 
1645.907  1.9321898466e-01  1.4548674566e-02 
1650.852  1.9272548895e-01  1.4529002284e-02 
1655.790  1.9323474616e-01  1.4591984115e-02 
