 lambda   Irr_dw            Rad_up 
 630.512  1.3464147348e+00  9.2000346839e-02 
 631.338  1.3417885863e+00  9.1743394314e-02 
 632.164  1.3403791571e+00  9.1703177383e-02 
 632.991  1.3428645919e+00  9.1957461855e-02 
 633.817  1.3453945618e+00  9.2230172921e-02 
 634.643  1.3451020593e+00  9.2297266046e-02 
 635.470  1.3440771478e+00  9.2297698645e-02 
 636.296  1.3464458783e+00  9.2526308367e-02 
 637.122  1.3524678165e+00  9.3006193856e-02 
 637.948  1.3569405058e+00  9.3375027501e-02 
 638.775  1.3550402450e+00  9.3298369518e-02 
 639.601  1.3479849572e+00  9.2860595810e-02 
 640.427  1.3409891119e+00  9.2413265453e-02 
 641.253  1.3374836227e+00  9.2176654486e-02 
 642.079  1.3371657019e+00  9.2115874092e-02 
 642.905  1.3376871015e+00  9.2057361366e-02 
 643.732  1.3362961825e+00  9.1786888953e-02 
 644.558  1.3312322584e+00  9.1142448629e-02 
 645.384  1.3232937612e+00  9.0160206018e-02 
 646.210  1.3159593100e+00  8.9140973223e-02 
 647.036  1.3119192599e+00  8.8413088902e-02 
 647.862  1.3095601665e+00  8.8021532471e-02 
 648.688  1.3054797197e+00  8.7797156744e-02 
 649.514  1.3007277069e+00  8.7711221211e-02 
 650.340  1.3005787437e+00  8.7924311647e-02 
 651.166  1.3063745323e+00  8.8417402576e-02 
 651.992  1.3126197088e+00  8.8872926629e-02 
 652.818  1.3118659545e+00  8.8861827717e-02 
 653.644  1.2973712620e+00  8.7904081098e-02 
 654.470  1.2660051601e+00  8.5753759641e-02 
 655.296  1.2266773016e+00  8.3064941455e-02 
 656.122  1.2013835355e+00  8.1404931297e-02 
 656.948  1.2068636785e+00  8.1927798456e-02 
 657.774  1.2366854200e+00  8.4159188421e-02 
 658.599  1.2698984776e+00  8.6628249571e-02 
 659.425  1.2931602685e+00  8.8405762681e-02 
 660.251  1.3063972437e+00  8.9483872445e-02 
 661.077  1.3137088675e+00  9.0131524555e-02 
 661.903  1.3164844919e+00  9.0422765424e-02 
 662.728  1.3146736231e+00  9.0349578506e-02 
 663.554  1.3102350760e+00  9.0067853951e-02 
 664.380  1.3065653149e+00  8.9836394249e-02 
 665.206  1.3049539336e+00  8.9754410416e-02 
 666.031  1.3040145928e+00  8.9723944371e-02 
 666.857  1.3029732234e+00  8.9687602213e-02 
 667.683  1.3028283896e+00  8.9710701918e-02 
 668.508  1.3034190517e+00  8.9774437202e-02 
 669.334  1.3024401780e+00  8.9712993091e-02 
1503.952  2.1134224227e-01  1.1336040943e-02 
1509.148  2.2971812256e-01  1.2947111399e-02 
1514.333  2.3100080578e-01  1.3382461224e-02 
1519.509  2.3585732062e-01  1.4023501186e-02 
1524.675  2.3611920092e-01  1.4373683817e-02 
1529.831  2.3346789202e-01  1.4350446605e-02 
1534.978  2.3507880827e-01  1.4547864544e-02 
1540.114  2.3248929093e-01  1.4615845302e-02 
1545.242  2.3651775894e-01  1.5003306012e-02 
1550.360  2.3313829385e-01  1.4930656910e-02 
1555.468  2.2878540556e-01  1.4690357484e-02 
1560.567  2.3020608393e-01  1.4937680037e-02 
1565.657  2.2402928412e-01  1.4507577260e-02 
1570.738  2.1552197701e-01  1.3951338501e-02 
1575.809  2.0623190753e-01  1.3449854298e-02 
1580.872  2.1500423465e-01  1.4003792603e-02 
1585.926  2.1556388562e-01  1.4174446509e-02 
1590.971  2.0820343479e-01  1.3776590584e-02 
1596.007  2.1189469002e-01  1.4037871745e-02 
1601.035  2.0466565292e-01  1.3560022214e-02 
1606.054  2.0403441309e-01  1.3667522671e-02 
1611.064  1.9961299055e-01  1.3345532860e-02 
1616.066  2.0206259964e-01  1.3533381566e-02 
1621.060  2.0355126370e-01  1.3786451095e-02 
1626.045  2.0760619335e-01  1.4136942865e-02 
1631.023  2.0535030546e-01  1.3989811558e-02 
1635.992  1.9923743690e-01  1.3454280763e-02 
1640.954  1.9040915443e-01  1.2774415091e-02 
1645.907  1.9320320478e-01  1.3104887503e-02 
1650.852  1.9270992962e-01  1.3082872625e-02 
1655.790  1.9321912947e-01  1.3137577516e-02 
