 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 436.000  1.51283e+00  4.79753e-01  7.80054e-02  1.22205e-01  1.71475e-01  8.40250e-02  1.19965e+00  3.13189e-01  1.10246e-01  6.12287e-02
 437.000  1.52427e+00  4.82745e-01  7.81097e-02  1.22989e-01  1.72608e-01  8.45275e-02  1.21070e+00  3.13563e-01  1.11262e-01  6.13463e-02
 438.000  1.36266e+00  4.31002e-01  6.93849e-02  1.09827e-01  1.54164e-01  7.54481e-02  1.08408e+00  2.78578e-01  9.96258e-02  5.45386e-02
 439.000  1.31586e+00  4.15602e-01  6.66126e-02  1.05914e-01  1.48730e-01  7.27359e-02  1.04860e+00  2.67259e-01  9.63652e-02  5.23648e-02
 440.000  1.47195e+00  4.64601e-01  7.40424e-02  1.18461e-01  1.66223e-01  8.12795e-02  1.17480e+00  2.97143e-01  1.07963e-01  5.82602e-02
 441.000  1.46429e+00  4.61651e-01  7.32154e-02  1.17739e-01  1.65207e-01  8.07400e-02  1.17054e+00  2.93753e-01  1.07571e-01  5.76360e-02
 442.000  1.53922e+00  4.84612e-01  7.64901e-02  1.23613e-01  1.73498e-01  8.47339e-02  1.23236e+00  3.06859e-01  1.13252e-01  6.02464e-02
 443.000  1.54651e+00  4.86122e-01  7.63790e-02  1.24002e-01  1.74155e-01  8.49797e-02  1.24016e+00  3.06352e-01  1.13969e-01  6.01862e-02
 444.000  1.53355e+00  4.81319e-01  7.52742e-02  1.22787e-01  1.72534e-01  8.41205e-02  1.23169e+00  3.01862e-01  1.13190e-01  5.93437e-02
 445.000  1.61012e+00  5.04486e-01  7.85430e-02  1.28697e-01  1.80974e-01  8.81504e-02  1.29519e+00  3.14923e-01  1.19026e-01  6.19483e-02
 446.000  1.43066e+00  4.47558e-01  6.93727e-02  1.14187e-01  1.60649e-01  7.81825e-02  1.15259e+00  2.78065e-01  1.05921e-01  5.47278e-02
 447.000  1.62873e+00  5.09286e-01  7.85129e-02  1.30009e-01  1.82732e-01  8.89279e-02  1.31410e+00  3.14630e-01  1.20763e-01  6.19693e-02
 448.000  1.65270e+00  5.15976e-01  7.91863e-02  1.31701e-01  1.85266e-01  9.00867e-02  1.33537e+00  3.17332e-01  1.22718e-01  6.25485e-02
 449.000  1.66079e+00  5.18253e-01  7.91159e-02  1.32332e-01  1.86032e-01  9.04583e-02  1.34380e+00  3.16996e-01  1.23493e-01  6.25391e-02
 450.000  1.69388e+00  5.28162e-01  8.02163e-02  1.34892e-01  1.89590e-01  9.21661e-02  1.37245e+00  3.21432e-01  1.26126e-01  6.34642e-02
 451.000  1.82720e+00  5.68950e-01  8.60235e-02  1.45306e-01  2.04341e-01  9.92686e-02  1.48259e+00  3.44611e-01  1.36247e-01  6.80940e-02
 452.000  1.69557e+00  5.27324e-01  7.93482e-02  1.34688e-01  1.89463e-01  9.19873e-02  1.37770e+00  3.17873e-01  1.26608e-01  6.28554e-02
 453.000  1.57110e+00  4.87885e-01  7.30891e-02  1.24610e-01  1.75405e-01  8.50939e-02  1.27839e+00  2.92716e-01  1.17481e-01  5.79240e-02
 454.000  1.67215e+00  5.18674e-01  7.73424e-02  1.32494e-01  1.86530e-01  9.04422e-02  1.36245e+00  3.09693e-01  1.25206e-01  6.13236e-02
 455.000  1.68101e+00  5.21234e-01  7.72992e-02  1.33220e-01  1.87367e-01  9.08523e-02  1.37152e+00  3.09490e-01  1.26039e-01  6.13274e-02
 456.000  1.71899e+00  5.32354e-01  7.85869e-02  1.36076e-01  1.91438e-01  9.27688e-02  1.40434e+00  3.14655e-01  1.29056e-01  6.23822e-02
 457.000  1.72561e+00  5.34019e-01  7.84382e-02  1.36554e-01  1.92012e-01  9.30273e-02  1.41178e+00  3.13835e-01  1.29739e-01  6.22728e-02
 458.000  1.69248e+00  5.23213e-01  7.64893e-02  1.33814e-01  1.88171e-01  9.11217e-02  1.38654e+00  3.05934e-01  1.27420e-01  6.07508e-02
 459.000  1.68982e+00  5.21893e-01  7.59264e-02  1.33504e-01  1.87724e-01  9.08669e-02  1.38599e+00  3.03834e-01  1.27369e-01  6.03551e-02
 460.000  1.67248e+00  5.15968e-01  7.47160e-02  1.32008e-01  1.85643e-01  8.98126e-02  1.37354e+00  2.98937e-01  1.26225e-01  5.94175e-02
 461.000  1.73659e+00  5.35526e-01  7.71127e-02  1.37074e-01  1.92617e-01  9.31857e-02  1.42295e+00  3.13638e-01  1.30766e-01  6.18516e-02
 462.000  1.69975e+00  5.23777e-01  7.50769e-02  1.34119e-01  1.88370e-01  9.11070e-02  1.39941e+00  3.00342e-01  1.28602e-01  5.97676e-02
 463.000  1.69717e+00  5.22270e-01  7.45403e-02  1.33743e-01  1.87920e-01  9.08241e-02  1.39940e+00  2.97764e-01  1.28601e-01  5.93182e-02
 464.000  1.70009e+00  5.22413e-01  7.42422e-02  1.33774e-01  1.88092e-01  9.08338e-02  1.40346e+00  2.96629e-01  1.28974e-01  5.91181e-02
 465.000  1.67259e+00  5.13622e-01  7.26326e-02  1.31570e-01  1.84908e-01  8.92757e-02  1.38243e+00  2.90159e-01  1.27042e-01  5.78659e-02
 466.000  1.72275e+00  5.28398e-01  7.43903e-02  1.35369e-01  1.90300e-01  9.18217e-02  1.42569e+00  2.97065e-01  1.31017e-01  5.92827e-02
