 Prior error       Noise error       Smoothing error   Total error 
 1.6000000000e+01  3.1196511375e-02  3.1020796659e-04  3.1198053640e-02
 2.0000000000e+01  2.3025067946e-01  2.6782554460e-03  2.3026625555e-01
