      Prior error       Noise error   Smoothing error       Total error 
 1.6000000000e+01  4.0743961871e-02  4.0038930465e-04  4.0745929128e-02
 2.0000000000e+01  2.4510426307e-01  3.0429080299e-03  2.4512315081e-01
