      Prior error       Noise error   Smoothing error       Total error 
 1.6000000000e+01  2.9323892101e-02  2.7264263813e-04  2.9325159539e-02
 2.0000000000e+01  2.2115626891e-01  2.4685252550e-03  2.2117004520e-01
