      Prior error       Noise error   Smoothing error       Total error 
 1.6000000000e+01  4.5630755451e-02  4.4408323651e-04  4.5632916331e-02
 2.0000000000e+01  2.2594546443e-01  2.6074914014e-03  2.2596050962e-01
