      Prior error       Noise error   Smoothing error       Total error 
 1.6000000000e+01  7.5652925474e-02  8.1968934841e-04  7.5657365956e-02
 2.0000000000e+01  2.7038699563e-01  3.7705979302e-03  2.7041328520e-01
