    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         2.107150e-01         3.996073e-05         2.089376e-01         1.141529e-02        -1.029454e-03
   631.338         2.073720e-01         3.870283e-05         2.083371e-01         1.138156e-02        -1.026197e-03
   632.164         2.098180e-01         3.962123e-05         2.082281e-01         1.137502e-02        -1.025824e-03
   632.991         2.080850e-01         3.896943e-05         2.087627e-01         1.140261e-02        -1.029589e-03
   633.817         2.087560e-01         3.922116e-05         2.093189e-01         1.142999e-02        -1.033857e-03
   634.643         2.061490e-01         3.824767e-05         2.094078e-01         1.143105e-02        -1.035117e-03
   635.470         2.114960e-01         4.025750e-05         2.093548e-01         1.142474e-02        -1.034797e-03
   636.296         2.104740e-01         3.986937e-05         2.098298e-01         1.144867e-02        -1.036995e-03
   637.122         2.052650e-01         3.792035e-05         2.108872e-01         1.150557e-02        -1.042159e-03
   637.948         2.075970e-01         3.878686e-05         2.117052e-01         1.154956e-02        -1.045303e-03
   638.775         2.088950e-01         3.927341e-05         2.115147e-01         1.153783e-02        -1.041803e-03
   639.601         2.139270e-01         4.118829e-05         2.104975e-01         1.148000e-02        -1.032468e-03
   640.427         2.132490e-01         4.092762e-05         2.094616e-01         1.142059e-02        -1.021404e-03
   641.253         2.113290e-01         4.019395e-05         2.089297e-01         1.138953e-02        -1.011667e-03
   642.079         2.122560e-01         4.054735e-05         2.088369e-01         1.138519e-02        -1.004216e-03
   642.905         2.090330e-01         3.932532e-05         2.087940e-01         1.138740e-02        -9.983541e-04
   643.732         2.046050e-01         3.767689e-05         2.083262e-01         1.136981e-02        -9.916376e-04
   644.558         2.065380e-01         3.839215e-05         2.070901e-01         1.131308e-02        -9.812055e-04
   645.384         2.065200e-01         3.838546e-05         2.051809e-01         1.122241e-02        -9.665219e-04
   646.210         2.001570e-01         3.605654e-05         2.032388e-01         1.113155e-02        -9.506795e-04
   647.036         2.011980e-01         3.643257e-05         2.019112e-01         1.107232e-02        -9.374255e-04
   647.862         2.012610e-01         3.645539e-05         2.012008e-01         1.104056e-02        -9.271836e-04
   648.688         2.016970e-01         3.661351e-05         2.006866e-01         1.101135e-02        -9.180335e-04
   649.514         1.963660e-01         3.470365e-05         2.003650e-01         1.098712e-02        -9.103701e-04
   650.340         2.019510e-01         3.670579e-05         2.007228e-01         1.100016e-02        -9.074844e-04
   651.166         2.007090e-01         3.625569e-05         2.017896e-01         1.105571e-02        -9.105026e-04
   651.992         2.032680e-01         3.718609e-05         2.028170e-01         1.111172e-02        -9.159957e-04
   652.818         2.028470e-01         3.703221e-05         2.027863e-01         1.111035e-02        -9.182306e-04
   653.644         2.014320e-01         3.651737e-05         2.006147e-01         1.099253e-02        -9.110832e-04
   654.470         1.945780e-01         3.407454e-05         1.957511e-01         1.072839e-02        -8.915616e-04
   655.296         1.867260e-01         3.137994e-05         1.896465e-01         1.039554e-02        -8.662216e-04
   656.122         1.854520e-01         3.095320e-05         1.858257e-01         1.018480e-02        -8.509265e-04
   656.948         1.867980e-01         3.140414e-05         1.869125e-01         1.023915e-02        -8.573870e-04
   657.774         1.905430e-01         3.267597e-05         1.918550e-01         1.050212e-02        -8.809189e-04
   658.599         1.976560e-01         3.516110e-05         1.973345e-01         1.079416e-02        -9.067828e-04
   659.425         2.007690e-01         3.627737e-05         2.012468e-01         1.100174e-02        -9.257678e-04
   660.251         2.040710e-01         3.748048e-05         2.035752e-01         1.112437e-02        -9.381902e-04
   661.077         2.054250e-01         3.797949e-05         2.049436e-01         1.119605e-02        -9.470728e-04
   661.903         2.066160e-01         3.842115e-05         2.055402e-01         1.122711e-02        -9.527452e-04
   662.728         2.059550e-01         3.817572e-05         2.053498e-01         1.121663e-02        -9.543455e-04
   663.554         2.054110e-01         3.797431e-05         2.047057e-01         1.118213e-02        -9.532895e-04
   664.380         2.039650e-01         3.744155e-05         2.041717e-01         1.115330e-02        -9.524572e-04
   665.206         2.047880e-01         3.774431e-05         2.039644e-01         1.114129e-02        -9.526986e-04
   666.031         2.042540e-01         3.754773e-05         2.038665e-01         1.113433e-02        -9.527781e-04
