    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         1.252020e-01         1.410799e-05         1.222615e-01         1.726115e-02        -7.181113e-04
   631.338         1.214920e-01         1.328428e-05         1.219161e-01         1.721117e-02        -7.162632e-04
   632.164         1.241440e-01         1.387056e-05         1.218572e-01         1.720169e-02        -7.157651e-04
   632.991         1.203670e-01         1.303939e-05         1.221826e-01         1.724358e-02        -7.172038e-04
   633.817         1.272260e-01         1.456781e-05         1.225270e-01         1.728597e-02        -7.185829e-04
   634.643         1.245750e-01         1.396704e-05         1.225978e-01         1.729012e-02        -7.183791e-04
   635.470         1.208590e-01         1.314621e-05         1.225826e-01         1.728368e-02        -7.177562e-04
   636.296         1.252270e-01         1.411362e-05         1.228735e-01         1.732174e-02        -7.189704e-04
   637.122         1.270190e-01         1.452044e-05         1.235021e-01         1.740839e-02        -7.221638e-04
   637.948         1.244410e-01         1.393701e-05         1.239866e-01         1.747541e-02        -7.244840e-04
   638.775         1.245190e-01         1.395448e-05         1.238799e-01         1.745871e-02        -7.233061e-04
   639.601         1.259260e-01         1.427162e-05         1.232912e-01         1.737321e-02        -7.194364e-04
   640.427         1.246670e-01         1.398767e-05         1.226905e-01         1.728674e-02        -7.159544e-04
   641.253         1.226770e-01         1.354468e-05         1.223764e-01         1.724398e-02        -7.148085e-04
   642.079         1.281190e-01         1.477303e-05         1.223063e-01         1.724012e-02        -7.156448e-04
   642.905         1.248120e-01         1.402023e-05         1.222506e-01         1.724303e-02        -7.169208e-04
   643.732         1.237510e-01         1.378288e-05         1.219274e-01         1.721420e-02        -7.169377e-04
   644.558         1.219430e-01         1.338309e-05         1.211277e-01         1.712687e-02        -7.145144e-04
   645.384         1.213440e-01         1.325193e-05         1.199029e-01         1.698972e-02        -7.099234e-04
   646.210         1.184260e-01         1.262225e-05         1.186422e-01         1.685313e-02        -7.052323e-04
   647.036         1.191710e-01         1.278155e-05         1.177570e-01         1.676445e-02        -7.024623e-04
   647.862         1.190200e-01         1.274918e-05         1.172818e-01         1.671741e-02        -7.013625e-04
   648.688         1.189050e-01         1.272456e-05         1.169825e-01         1.667479e-02        -7.003402e-04
   649.514         1.169300e-01         1.230536e-05         1.168362e-01         1.664050e-02        -6.996035e-04
   650.340         1.202750e-01         1.301947e-05         1.170869e-01         1.666289e-02        -7.013213e-04
   651.166         1.203800e-01         1.304221e-05         1.177279e-01         1.674905e-02        -7.058819e-04
   651.992         1.201070e-01         1.298312e-05         1.183306e-01         1.683505e-02        -7.105550e-04
   652.818         1.196270e-01         1.287956e-05         1.183141e-01         1.683353e-02        -7.115267e-04
   653.644         1.186930e-01         1.267923e-05         1.170422e-01         1.665524e-02        -7.049010e-04
   654.470         1.152870e-01         1.196198e-05         1.141899e-01         1.625510e-02        -6.887445e-04
