    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         9.154330e-02         7.542158e-06         9.094948e-02         1.810093e-02        -7.121937e-04
   631.338         9.085760e-02         7.429593e-06         9.069497e-02         1.804955e-02        -7.097956e-04
   632.164         9.053420e-02         7.376797e-06         9.065294e-02         1.804003e-02        -7.091225e-04
   632.991         8.976540e-02         7.252044e-06         9.090155e-02         1.808381e-02        -7.107113e-04
   633.817         9.178670e-02         7.582318e-06         9.116839e-02         1.812789e-02        -7.123385e-04
   634.643         9.173190e-02         7.573267e-06         9.123196e-02         1.813222e-02        -7.123351e-04
   635.470         9.186100e-02         7.594599e-06         9.122950e-02         1.812555e-02        -7.121925e-04
   636.296         9.184640e-02         7.592185e-06         9.145245e-02         1.816470e-02        -7.146126e-04
   637.122         9.217030e-02         7.645828e-06         9.192366e-02         1.825385e-02        -7.196832e-04
   637.948         8.820170e-02         7.001586e-06         9.228508e-02         1.832283e-02        -7.240681e-04
   638.775         9.346880e-02         7.862775e-06         9.220641e-02         1.830591e-02        -7.246873e-04
   639.601         9.495100e-02         8.114123e-06         9.177137e-02         1.821838e-02        -7.220679e-04
   640.427         9.202900e-02         7.622403e-06         9.132747e-02         1.812926e-02        -7.191268e-04
   641.253         8.607080e-02         6.667364e-06         9.109224e-02         1.808425e-02        -7.177723e-04
   642.079         9.046370e-02         7.365313e-06         9.103090e-02         1.807973e-02        -7.177782e-04
   642.905         9.006610e-02         7.300712e-06         9.097166e-02         1.808365e-02        -7.178399e-04
   643.732         8.978580e-02         7.255341e-06         9.070251e-02         1.805492e-02        -7.164938e-04
   644.558         9.118040e-02         7.482479e-06         9.006302e-02         1.796398e-02        -7.128019e-04
   645.384         9.197840e-02         7.614023e-06         8.908881e-02         1.781991e-02        -7.072322e-04
   646.210         8.815990e-02         6.994951e-06         8.807759e-02         1.767629e-02        -7.018416e-04
   647.036         8.775050e-02         6.930135e-06         8.735474e-02         1.758269e-02        -6.985530e-04
   647.862         8.733490e-02         6.864646e-06         8.696559e-02         1.753237e-02        -6.971424e-04
   648.688         8.603270e-02         6.661463e-06         8.674318e-02         1.748710e-02        -6.960549e-04
   649.514         8.691030e-02         6.798060e-06         8.665841e-02         1.745142e-02        -6.953977e-04
   650.340         8.684580e-02         6.787974e-06         8.686871e-02         1.747527e-02        -6.970840e-04
   651.166         8.780550e-02         6.938825e-06         8.735465e-02         1.756554e-02        -7.012426e-04
   651.992         8.833350e-02         7.022527e-06         8.780276e-02         1.765577e-02        -7.051915e-04
   652.818         8.808490e-02         6.983055e-06         8.778963e-02         1.765523e-02        -7.055503e-04
   653.644         8.587300e-02         6.636755e-06         8.684103e-02         1.747029e-02        -6.988646e-04
   654.470         8.468860e-02         6.454943e-06         8.471405e-02         1.705259e-02        -6.832270e-04
   655.296         8.219100e-02         6.079824e-06         8.205529e-02         1.652490e-02        -6.633051e-04
   656.122         7.959580e-02         5.701942e-06         8.041351e-02         1.619136e-02        -6.509600e-04
   656.948         8.046210e-02         5.826735e-06         8.092880e-02         1.628103e-02        -6.552001e-04
   657.774         8.253780e-02         6.131240e-06         8.313222e-02         1.670500e-02        -6.724476e-04
   658.599         8.581640e-02         6.628009e-06         8.557040e-02         1.717630e-02        -6.910011e-04
   659.425         8.719110e-02         6.842059e-06         8.732530e-02         1.751107e-02        -7.028443e-04
   660.251         8.895930e-02         7.122381e-06         8.838917e-02         1.770610e-02        -7.071410e-04
   661.077         8.927460e-02         7.172959e-06         8.902766e-02         1.781634e-02        -7.059908e-04
   661.903         8.937390e-02         7.188925e-06         8.931375e-02         1.786126e-02        -7.007690e-04
   662.728         8.973710e-02         7.247472e-06         8.923945e-02         1.784186e-02        -6.921816e-04
   663.554         8.930940e-02         7.178552e-06         8.895886e-02         1.778685e-02        -6.815979e-04
   664.380         8.936910e-02         7.188152e-06         8.872780e-02         1.774314e-02        -6.708110e-04
   665.206         8.900200e-02         7.129220e-06         8.864441e-02         1.772762e-02        -6.603538e-04
   666.031         8.856780e-02         7.059830e-06         8.861198e-02         1.772053e-02        -6.495094e-04
   666.857         8.870300e-02         7.081400e-06         8.857386e-02         1.771063e-02        -6.382129e-04
   667.683         8.900700e-02         7.130021e-06         8.859455e-02         1.771157e-02        -6.275687e-04
   668.508         8.900870e-02         7.130294e-06         8.865540e-02         1.772274e-02        -6.182804e-04
