    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         1.857620e-01         3.105677e-05         1.870662e-01         1.322047e-02        -1.269082e-03
   631.338         1.858350e-01         3.108118e-05         1.865315e-01         1.318146e-02        -1.266411e-03
   632.164         1.853680e-01         3.092517e-05         1.864363e-01         1.317329e-02        -1.266366e-03
   632.991         1.880830e-01         3.183769e-05         1.869190e-01         1.320449e-02        -1.269715e-03
   633.817         1.907440e-01         3.274495e-05         1.874226e-01         1.323645e-02        -1.273155e-03
   634.643         1.841770e-01         3.052905e-05         1.875078e-01         1.323958e-02        -1.274327e-03
   635.470         1.856240e-01         3.101064e-05         1.874652e-01         1.323484e-02        -1.275432e-03
   636.296         1.843900e-01         3.059970e-05         1.878950e-01         1.326437e-02        -1.280403e-03
   637.122         1.900680e-01         3.251326e-05         1.888457e-01         1.333124e-02        -1.289123e-03
   637.948         1.915210e-01         3.301226e-05         1.895812e-01         1.338261e-02        -1.295880e-03
   638.775         1.936820e-01         3.376145e-05         1.894131e-01         1.336878e-02        -1.295626e-03
   639.601         1.857850e-01         3.106446e-05         1.885046e-01         1.330124e-02        -1.289892e-03
   640.427         1.911510e-01         3.288483e-05         1.875784e-01         1.323271e-02        -1.284106e-03
   641.253         1.874730e-01         3.163151e-05         1.871009e-01         1.319821e-02        -1.281448e-03
   642.079         1.886220e-01         3.202043e-05         1.870130e-01         1.319449e-02        -1.281590e-03
   642.905         1.857500e-01         3.105276e-05         1.869659e-01         1.319666e-02        -1.282354e-03
   643.732         1.890540e-01         3.216727e-05         1.865335e-01         1.317474e-02        -1.280727e-03
   644.558         1.877220e-01         3.171559e-05         1.854063e-01         1.310828e-02        -1.274809e-03
   645.384         1.845890e-01         3.066579e-05         1.836688e-01         1.300416e-02        -1.265892e-03
   646.210         1.803240e-01         2.926507e-05         1.818978e-01         1.290036e-02        -1.257774e-03
   647.036         1.753160e-01         2.766213e-05         1.806811e-01         1.283234e-02        -1.253058e-03
   647.862         1.773610e-01         2.831123e-05         1.800293e-01         1.279534e-02        -1.250646e-03
   648.688         1.772840e-01         2.828665e-05         1.795689e-01         1.276120e-02        -1.248125e-03
   649.514         1.779130e-01         2.848773e-05         1.792916e-01         1.273274e-02        -1.246320e-03
   650.340         1.797890e-01         2.909168e-05         1.796233e-01         1.274695e-02        -1.248794e-03
   651.166         1.793900e-01         2.896269e-05         1.805844e-01         1.280995e-02        -1.255796e-03
   651.992         1.805330e-01         2.933295e-05         1.815070e-01         1.287374e-02        -1.262827e-03
   652.818         1.799300e-01         2.913732e-05         1.814827e-01         1.287177e-02        -1.264134e-03
   653.644         1.799300e-01         2.913732e-05         1.795410e-01         1.273533e-02        -1.253220e-03
   654.470         1.749070e-01         2.753321e-05         1.751875e-01         1.242938e-02        -1.225824e-03
   655.296         1.703170e-01         2.610709e-05         1.697241e-01         1.204391e-02        -1.189897e-03
   656.122         1.666670e-01         2.500010e-05         1.663099e-01         1.180041e-02        -1.167086e-03
   656.948         1.661250e-01         2.483776e-05         1.672940e-01         1.186511e-02        -1.173985e-03
   657.774         1.720220e-01         2.663241e-05         1.717327e-01         1.217255e-02        -1.204438e-03
   658.599         1.757830e-01         2.780970e-05         1.766529e-01         1.251374e-02        -1.238098e-03
   659.425         1.799850e-01         2.915514e-05         1.801706e-01         1.275602e-02        -1.261234e-03
   660.251         1.831860e-01         3.020140e-05         1.822711e-01         1.289857e-02        -1.272176e-03
   661.077         1.826530e-01         3.002591e-05         1.835121e-01         1.298131e-02        -1.274071e-03
   661.903         1.843940e-01         3.060103e-05         1.840601e-01         1.301677e-02        -1.269205e-03
   662.728         1.846000e-01         3.066944e-05         1.839006e-01         1.300396e-02        -1.259234e-03
   663.554         1.831860e-01         3.020140e-05         1.833333e-01         1.296329e-02        -1.246912e-03
   664.380         1.833240e-01         3.024692e-05         1.828648e-01         1.292930e-02        -1.235078e-03
   665.206         1.826490e-01         3.002459e-05         1.826897e-01         1.291467e-02        -1.224223e-03
   666.031         1.831350e-01         3.018459e-05         1.826130e-01         1.290586e-02        -1.213108e-03
   666.857         1.828650e-01         3.009565e-05         1.825223e-01         1.289628e-02        -1.201779e-03
   667.683         1.828410e-01         3.008775e-05         1.825528e-01         1.289654e-02        -1.191876e-03
   668.508         1.835710e-01         3.032848e-05         1.826750e-01         1.290428e-02        -1.183271e-03
   669.334         1.824540e-01         2.996052e-05         1.825606e-01         1.289530e-02        -1.173740e-03
  1503.952         1.817240e-02         2.972125e-07         1.882464e-02         8.228821e-04        -7.418980e-04
  1509.148         2.109400e-02         4.004612e-07         2.154995e-02         9.557434e-04        -8.195444e-04
  1514.333         2.186370e-02         4.302192e-07         2.237724e-02         1.009090e-03        -8.169018e-04
  1519.509         2.317320e-02         4.832975e-07         2.368728e-02         1.091666e-03        -8.308139e-04
  1524.675         2.432500e-02         5.325351e-07         2.427253e-02         1.127144e-03        -8.303353e-04
  1529.831         2.446330e-02         5.386077e-07         2.444199e-02         1.156077e-03        -8.187533e-04
  1534.978         2.504370e-02         5.644682e-07         2.509810e-02         1.214715e-03        -8.213359e-04
  1540.114         2.577540e-02         5.979341e-07         2.529358e-02         1.238791e-03        -8.064556e-04
  1545.242         2.660240e-02         6.369189e-07         2.613853e-02         1.299910e-03        -8.141588e-04
  1550.360         2.637440e-02         6.260481e-07         2.614512e-02         1.317533e-03        -7.949967e-04
  1555.468         2.600970e-02         6.088540e-07         2.592413e-02         1.326120e-03        -7.732959e-04
  1560.567         2.695850e-02         6.540847e-07         2.636648e-02         1.357614e-03        -7.702934e-04
  1565.657         2.584380e-02         6.011118e-07         2.580013e-02         1.348379e-03        -7.402825e-04
  1570.738         2.478360e-02         5.528041e-07         2.487391e-02         1.312112e-03        -6.997225e-04
  1575.809         2.430370e-02         5.316029e-07         2.401382e-02         1.274157e-03        -6.659823e-04
  1580.872         2.541030e-02         5.811150e-07         2.525028e-02         1.359567e-03        -6.905418e-04
  1585.926         2.605760e-02         6.110987e-07         2.565685e-02         1.394740e-03        -6.882213e-04
  1590.971         2.507580e-02         5.659162e-07         2.500976e-02         1.371462e-03        -6.578535e-04
  1596.007         2.539880e-02         5.805891e-07         2.552697e-02         1.407495e-03        -6.623114e-04
  1601.035         2.486080e-02         5.562534e-07         2.468420e-02         1.368358e-03        -6.324783e-04
  1606.054         2.502350e-02         5.635580e-07         2.480942e-02         1.375683e-03        -6.275820e-04
  1611.064         2.462000e-02         5.455300e-07         2.439266e-02         1.366104e-03        -6.107930e-04
  1616.066         2.511720e-02         5.677864e-07         2.488475e-02         1.405637e-03        -6.165111e-04
  1621.060         2.530080e-02         5.761174e-07         2.529977e-02         1.429541e-03        -6.195151e-04
  1626.045         2.637630e-02         6.261383e-07         2.594160e-02         1.469202e-03        -6.303689e-04
  1631.023         2.576210e-02         5.973172e-07         2.569611e-02         1.459463e-03        -6.199319e-04
  1635.992         2.499780e-02         5.624010e-07         2.489357e-02         1.426832e-03        -5.995780e-04
  1640.954         2.406680e-02         5.212898e-07         2.377072e-02         1.372566e-03        -5.701340e-04
  1645.907         2.413150e-02         5.240964e-07         2.422689e-02         1.393453e-03        -5.740963e-04
  1650.852         2.455180e-02         5.425118e-07         2.422440e-02         1.398365e-03        -5.692642e-04
  1655.790         2.458340e-02         5.439092e-07         2.434760e-02         1.408962e-03        -5.699712e-04
