    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         2.107150e-01         3.996073e-05         2.069171e-01         1.163790e-02        -9.825532e-04
   631.338         2.073720e-01         3.870283e-05         2.063232e-01         1.160421e-02        -9.796065e-04
   632.164         2.098180e-01         3.962123e-05         2.062157e-01         1.159777e-02        -9.788615e-04
   632.991         2.080850e-01         3.896943e-05         2.067456e-01         1.162532e-02        -9.814859e-04
   633.817         2.087560e-01         3.922116e-05         2.072969e-01         1.165205e-02        -9.846235e-04
   634.643         2.061490e-01         3.824767e-05         2.073854e-01         1.165205e-02        -9.854601e-04
   635.470         2.114960e-01         4.025750e-05         2.073335e-01         1.164498e-02        -9.851384e-04
   636.296         2.104740e-01         3.986937e-05         2.078045e-01         1.166884e-02        -9.871513e-04
   637.122         2.052650e-01         3.792035e-05         2.088523e-01         1.172656e-02        -9.920405e-04
   637.948         2.075970e-01         3.878686e-05         2.096629e-01         1.177185e-02        -9.955074e-04
   638.775         2.088950e-01         3.927341e-05         2.094745e-01         1.176099e-02        -9.935958e-04
   639.601         2.139270e-01         4.118829e-05         2.084668e-01         1.170343e-02        -9.875662e-04
   640.427         2.132490e-01         4.092762e-05         2.074398e-01         1.164486e-02        -9.817164e-04
   641.253         2.113290e-01         4.019395e-05         2.069109e-01         1.161588e-02        -9.786722e-04
   642.079         2.122560e-01         4.054735e-05         2.068160e-01         1.161364e-02        -9.784222e-04
   642.905         2.090330e-01         3.932532e-05         2.067697e-01         1.161622e-02        -9.795347e-04
   643.732         2.046050e-01         3.767689e-05         2.063020e-01         1.159724e-02        -9.797187e-04
   644.558         2.065380e-01         3.839215e-05         2.050727e-01         1.153840e-02        -9.769823e-04
   645.384         2.065200e-01         3.838546e-05         2.031762e-01         1.144505e-02        -9.715046e-04
   646.210         2.001570e-01         3.605654e-05         2.012469e-01         1.135067e-02        -9.659225e-04
   647.036         2.011980e-01         3.643257e-05         1.999267e-01         1.128759e-02        -9.627521e-04
   647.862         2.012610e-01         3.645539e-05         1.992187e-01         1.125285e-02        -9.617113e-04
   648.688         2.016970e-01         3.661351e-05         1.987069e-01         1.122252e-02        -9.608482e-04
   649.514         1.963660e-01         3.470365e-05         1.983876e-01         1.119945e-02        -9.602983e-04
   650.340         2.019510e-01         3.670579e-05         1.987422e-01         1.121552e-02        -9.625697e-04
   651.166         2.007090e-01         3.625569e-05         1.997994e-01         1.127463e-02        -9.680434e-04
   651.992         2.032680e-01         3.718609e-05         2.008177e-01         1.133316e-02        -9.733613e-04
   652.818         2.028470e-01         3.703221e-05         2.007887e-01         1.133196e-02        -9.739225e-04
   653.644         2.014320e-01         3.651737e-05         1.986396e-01         1.121091e-02        -9.646509e-04
   654.470         1.945780e-01         3.407454e-05         1.938250e-01         1.094009e-02        -9.425357e-04
   655.296         1.867260e-01         3.137994e-05         1.877815e-01         1.059913e-02        -9.144308e-04
   656.122         1.854520e-01         3.095320e-05         1.839999e-01         1.038276e-02        -8.979164e-04
   656.948         1.867980e-01         3.140414e-05         1.850782e-01         1.043742e-02        -9.059003e-04
   657.774         1.905430e-01         3.267597e-05         1.899748e-01         1.070651e-02        -9.324834e-04
   658.599         1.976560e-01         3.516110e-05         1.954036e-01         1.100714e-02        -9.608234e-04
   659.425         2.007690e-01         3.627737e-05         1.992813e-01         1.122232e-02        -9.815155e-04
   660.251         2.040710e-01         3.748048e-05         2.015915e-01         1.134954e-02        -9.966621e-04
   661.077         2.054250e-01         3.797949e-05         2.029518e-01         1.142229e-02        -1.010977e-03
   661.903         2.066160e-01         3.842115e-05         2.035484e-01         1.145168e-02        -1.025007e-03
   662.728         2.059550e-01         3.817572e-05         2.033656e-01         1.143825e-02        -1.036651e-03
   663.554         2.054110e-01         3.797431e-05         2.027335e-01         1.140085e-02        -1.045705e-03
   664.380         2.039650e-01         3.744155e-05         2.022105e-01         1.137002e-02        -1.054710e-03
   665.206         2.047880e-01         3.774431e-05         2.020111e-01         1.135692e-02        -1.066044e-03
   666.031         2.042540e-01         3.754773e-05         2.019201e-01         1.134898e-02        -1.079743e-03
   666.857         2.047930e-01         3.774616e-05         2.018132e-01         1.133903e-02        -1.094545e-03
   667.683         2.041600e-01         3.751318e-05         2.018404e-01         1.133646e-02        -1.109117e-03
   668.508         2.042060e-01         3.753008e-05         2.019700e-01         1.134167e-02        -1.121590e-03
   669.334         2.041070e-01         3.749370e-05         2.018404e-01         1.133567e-02        -1.129562e-03
  1503.952         1.806240e-02         2.936253e-07         1.927202e-02         5.688874e-04        -7.062311e-04
  1509.148         2.118220e-02         4.038170e-07         2.211527e-02         6.669604e-04        -7.815095e-04
  1514.333         2.210220e-02         4.396565e-07         2.302211e-02         7.106740e-04        -7.875162e-04
  1519.509         2.385850e-02         5.123052e-07         2.443604e-02         7.744667e-04        -8.103865e-04
  1524.675         2.434550e-02         5.334330e-07         2.507655e-02         8.048326e-04        -8.118873e-04
  1529.831         2.485670e-02         5.560700e-07         2.530361e-02         8.306831e-04        -8.002321e-04
  1534.978         2.532090e-02         5.770332e-07         2.604690e-02         8.788953e-04        -8.023163e-04
  1540.114         2.668160e-02         6.407170e-07         2.629812e-02         9.027683e-04        -7.875561e-04
  1545.242         2.724530e-02         6.680757e-07         2.723043e-02         9.533633e-04        -7.945643e-04
  1550.360         2.698900e-02         6.555655e-07         2.728784e-02         9.726953e-04        -7.751938e-04
  1555.468         2.667170e-02         6.402416e-07         2.710706e-02         9.844308e-04        -7.519511e-04
  1560.567         2.758780e-02         6.849780e-07         2.760493e-02         1.013742e-03        -7.467023e-04
  1565.657         2.713630e-02         6.627409e-07         2.705921e-02         1.012127e-03        -7.173198e-04
  1570.738         2.550550e-02         5.854775e-07         2.612454e-02         9.907319e-04        -6.779750e-04
  1575.809         2.499750e-02         5.623875e-07         2.524526e-02         9.653828e-04        -6.437475e-04
  1580.872         2.631820e-02         6.233829e-07         2.658829e-02         1.034112e-03        -6.659345e-04
  1585.926         2.674800e-02         6.439100e-07         2.705453e-02         1.065920e-03        -6.620153e-04
  1590.971         2.633770e-02         6.243070e-07         2.640725e-02         1.053092e-03        -6.317178e-04
  1596.007         2.691570e-02         6.520094e-07         2.697760e-02         1.084825e-03        -6.357761e-04
  1601.035         2.590210e-02         6.038269e-07         2.610924e-02         1.057778e-03        -6.063090e-04
  1606.054         2.590350e-02         6.038922e-07         2.625329e-02         1.066495e-03        -6.004901e-04
  1611.064         2.548620e-02         5.845918e-07         2.584246e-02         1.062310e-03        -5.834576e-04
  1616.066         2.627210e-02         6.212009e-07         2.639059e-02         1.095382e-03        -5.880075e-04
  1621.060         2.677380e-02         6.451527e-07         2.684094e-02         1.116511e-03        -5.903916e-04
  1626.045         2.753130e-02         6.821752e-07         2.753334e-02         1.149001e-03        -6.001176e-04
  1631.023         2.702940e-02         6.575296e-07         2.728656e-02         1.144515e-03        -5.891493e-04
  1635.992         2.652960e-02         6.334377e-07         2.645603e-02         1.119572e-03        -5.687816e-04
  1640.954         2.534830e-02         5.782827e-07         2.528182e-02         1.078610e-03        -5.396905e-04
  1645.907         2.547230e-02         5.839543e-07         2.576782e-02         1.097315e-03        -5.438589e-04
  1650.852         2.576760e-02         5.975723e-07         2.578039e-02         1.104082e-03        -5.391480e-04
  1655.790         2.607090e-02         6.117226e-07         2.591992e-02         1.113585e-03        -5.381803e-04
