    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         1.339960e-01         1.615944e-05         1.301430e-01         1.744297e-02        -1.374629e-03
   631.338         1.295200e-01         1.509789e-05         1.297810e-01         1.739286e-02        -1.374515e-03
   632.164         1.320870e-01         1.570228e-05         1.297247e-01         1.738361e-02        -1.376901e-03
   632.991         1.323690e-01         1.576940e-05         1.300766e-01         1.742653e-02        -1.382898e-03
   633.817         1.299000e-01         1.518661e-05         1.304476e-01         1.747018e-02        -1.388555e-03
   634.643         1.299740e-01         1.520392e-05         1.305272e-01         1.747481e-02        -1.390977e-03
   635.470         1.314560e-01         1.555261e-05         1.305158e-01         1.746788e-02        -1.392636e-03
   636.296         1.312760e-01         1.551005e-05         1.308310e-01         1.750540e-02        -1.398022e-03
   637.122         1.334610e-01         1.603065e-05         1.315064e-01         1.759250e-02        -1.407328e-03
   637.948         1.322650e-01         1.574463e-05         1.320290e-01         1.766090e-02        -1.414955e-03
   638.775         1.354280e-01         1.650667e-05         1.319216e-01         1.764554e-02        -1.415821e-03
   639.601         1.298300e-01         1.517025e-05         1.312991e-01         1.756049e-02        -1.411268e-03
   640.427         1.346190e-01         1.631005e-05         1.306620e-01         1.747364e-02        -1.406794e-03
   641.253         1.351480e-01         1.643848e-05         1.303297e-01         1.743030e-02        -1.405765e-03
   642.079         1.316140e-01         1.559002e-05         1.302579e-01         1.742633e-02        -1.407514e-03
   642.905         1.308070e-01         1.539942e-05         1.302033e-01         1.742955e-02        -1.409541e-03
   643.732         1.313280e-01         1.552234e-05         1.298666e-01         1.740065e-02        -1.409205e-03
   644.558         1.308760e-01         1.541567e-05         1.290267e-01         1.731243e-02        -1.404676e-03
   645.384         1.277660e-01         1.469174e-05         1.277392e-01         1.717407e-02        -1.396549e-03
   646.210         1.260360e-01         1.429657e-05         1.264162e-01         1.703667e-02        -1.388534e-03
   647.036         1.240890e-01         1.385827e-05         1.254906e-01         1.694779e-02        -1.384193e-03
   647.862         1.260260e-01         1.429430e-05         1.249941e-01         1.690088e-02        -1.382847e-03
   648.688         1.252250e-01         1.411317e-05         1.246754e-01         1.685835e-02        -1.381183e-03
   649.514         1.249890e-01         1.406003e-05         1.245142e-01         1.682407e-02        -1.379134e-03
   650.340         1.252970e-01         1.412940e-05         1.247771e-01         1.684682e-02        -1.380502e-03
   651.166         1.255550e-01         1.418765e-05         1.254608e-01         1.693382e-02        -1.386067e-03
   651.992         1.253770e-01         1.414745e-05         1.261072e-01         1.702075e-02        -1.390937e-03
   652.818         1.264560e-01         1.439201e-05         1.260945e-01         1.701957e-02        -1.388256e-03
   653.644         1.260570e-01         1.430133e-05         1.247452e-01         1.683998e-02        -1.370909e-03
   654.470         1.232970e-01         1.368194e-05         1.217127e-01         1.643612e-02        -1.335279e-03
   655.296         1.186660e-01         1.267346e-05         1.179117e-01         1.592701e-02        -1.291024e-03
   656.122         1.160220e-01         1.211499e-05         1.155498e-01         1.560548e-02        -1.261862e-03
   656.948         1.170280e-01         1.232600e-05         1.162620e-01         1.569140e-02        -1.265619e-03
   657.774         1.197520e-01         1.290649e-05         1.193850e-01         1.609839e-02        -1.295371e-03
   658.599         1.237530e-01         1.378332e-05         1.228440e-01         1.655011e-02        -1.328986e-03
   659.425         1.261100e-01         1.431336e-05         1.253254e-01         1.687103e-02        -1.352712e-03
   660.251         1.277170e-01         1.468047e-05         1.268188e-01         1.705999e-02        -1.366969e-03
   661.077         1.285390e-01         1.487005e-05         1.277091e-01         1.716987e-02        -1.376270e-03
   661.903         1.293500e-01         1.505828e-05         1.281078e-01         1.721730e-02        -1.381745e-03
   662.728         1.286820e-01         1.490315e-05         1.280039e-01         1.720102e-02        -1.382769e-03
   663.554         1.285030e-01         1.486172e-05         1.276111e-01         1.714783e-02        -1.380986e-03
   664.380         1.276720e-01         1.467013e-05         1.272878e-01         1.710369e-02        -1.379746e-03
   665.206         1.280220e-01         1.475067e-05         1.271716e-01         1.708623e-02        -1.380299e-03
   666.031         1.286900e-01         1.490500e-05         1.271258e-01         1.707753e-02        -1.381243e-03
   666.857         1.283330e-01         1.482242e-05         1.270707e-01         1.706764e-02        -1.382030e-03
   667.683         1.281890e-01         1.478918e-05         1.270997e-01         1.706959e-02        -1.383982e-03
   668.508         1.286860e-01         1.490408e-05         1.271899e-01         1.708106e-02        -1.387033e-03
   669.334         1.284080e-01         1.483975e-05         1.271105e-01         1.707166e-02        -1.388632e-03
  1503.952         1.597110e-02         2.295684e-07         1.640842e-02         1.876508e-03        -7.784558e-04
  1509.148         1.858410e-02         3.108319e-07         1.866548e-02         2.130005e-03        -8.608912e-04
  1514.333         1.923780e-02         3.330837e-07         1.926009e-02         2.202257e-03        -8.688566e-04
  1519.509         2.061960e-02         3.826511e-07         2.023139e-02         2.326591e-03        -9.021449e-04
  1524.675         2.117200e-02         4.034282e-07         2.065950e-02         2.390450e-03        -8.927626e-04
  1529.831         2.113530e-02         4.020308e-07         2.067319e-02         2.409383e-03        -8.814722e-04
  1534.978         2.171050e-02         4.242112e-07         2.106075e-02         2.492023e-03        -8.885086e-04
  1540.114         2.163390e-02         4.212231e-07         2.112665e-02         2.501282e-03        -8.759615e-04
  1545.242         2.251240e-02         4.561273e-07         2.170530e-02         2.588182e-03        -8.891607e-04
  1550.360         2.225790e-02         4.458727e-07         2.159886e-02         2.586434e-03        -8.759123e-04
  1555.468         2.159690e-02         4.197835e-07         2.130349e-02         2.572992e-03        -8.535961e-04
  1560.567         2.238870e-02         4.511285e-07         2.161080e-02         2.604134e-03        -8.549489e-04
  1565.657         2.165100e-02         4.218892e-07         2.104033e-02         2.556354e-03        -8.272010e-04
  1570.738         2.082750e-02         3.904063e-07         2.021859e-02         2.459634e-03        -7.867111e-04
  1575.809         1.999500e-02         3.598200e-07         1.947807e-02         2.370002e-03        -7.519135e-04
  1580.872         2.084540e-02         3.910776e-07         2.037538e-02         2.509263e-03        -7.857007e-04
  1585.926         2.134950e-02         4.102210e-07         2.062930e-02         2.548305e-03        -7.884652e-04
  1590.971         2.092860e-02         3.942057e-07         2.004500e-02         2.480701e-03        -7.591233e-04
  1596.007         2.128960e-02         4.079224e-07         2.041805e-02         2.528992e-03        -7.687273e-04
  1601.035         2.017060e-02         3.661678e-07         1.970851e-02         2.440983e-03        -7.375357e-04
  1606.054         2.059790e-02         3.818461e-07         1.980437e-02         2.439661e-03        -7.349111e-04
  1611.064         1.991180e-02         3.568318e-07         1.940216e-02         2.410397e-03        -7.201297e-04
  1616.066         2.028140e-02         3.702017e-07         1.973266e-02         2.468968e-03        -7.324773e-04
  1621.060         2.100020e-02         3.969076e-07         2.005700e-02         2.499396e-03        -7.397804e-04
  1626.045         2.111000e-02         4.010689e-07         2.055100e-02         2.558519e-03        -7.553985e-04
  1631.023         2.137090e-02         4.110438e-07         2.033543e-02         2.532944e-03        -7.461272e-04
  1635.992         1.991330e-02         3.568856e-07         1.964385e-02         2.470866e-03        -7.253449e-04
  1640.954         1.919540e-02         3.316170e-07         1.871246e-02         2.370903e-03        -6.946887e-04
  1645.907         1.953260e-02         3.433702e-07         1.909810e-02         2.395036e-03        -7.053851e-04
  1650.852         1.965240e-02         3.475951e-07         1.907097e-02         2.394581e-03        -7.061645e-04
  1655.790         1.969900e-02         3.492455e-07         1.915617e-02         2.407289e-03        -7.098408e-04
