    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         1.345650e-01         1.629697e-05         1.394288e-01         1.790967e-02        -3.417013e-03
   631.338         1.331310e-01         1.595148e-05         1.390480e-01         1.785826e-02        -3.410390e-03
   632.164         1.360420e-01         1.665668e-05         1.389937e-01         1.784882e-02        -3.411578e-03
   632.991         1.355530e-01         1.653715e-05         1.393747e-01         1.789271e-02        -3.422651e-03
   633.817         1.378540e-01         1.710335e-05         1.397749e-01         1.793714e-02        -3.433581e-03
   634.643         1.394540e-01         1.750268e-05         1.398629e-01         1.794183e-02        -3.436731e-03
   635.470         1.359180e-01         1.662633e-05         1.398537e-01         1.793546e-02        -3.437446e-03
   636.296         1.361570e-01         1.668486e-05         1.401950e-01         1.797550e-02        -3.446496e-03
   637.122         1.347300e-01         1.633696e-05         1.409228e-01         1.806676e-02        -3.464858e-03
   637.948         1.366040e-01         1.679459e-05         1.414880e-01         1.813855e-02        -3.479534e-03
   638.775         1.351120e-01         1.642973e-05         1.413791e-01         1.812366e-02        -3.478383e-03
   639.601         1.363650e-01         1.673587e-05         1.407199e-01         1.803654e-02        -3.464638e-03
   640.427         1.361270e-01         1.667750e-05         1.400484e-01         1.794728e-02        -3.451773e-03
   641.253         1.369760e-01         1.688618e-05         1.397079e-01         1.790273e-02        -3.448421e-03
   642.079         1.342400e-01         1.621834e-05         1.396513e-01         1.789865e-02        -3.453299e-03
   642.905         1.362260e-01         1.670177e-05         1.396165e-01         1.790200e-02        -3.459802e-03
   643.732         1.354510e-01         1.651228e-05         1.392830e-01         1.787265e-02        -3.460198e-03
   644.558         1.342930e-01         1.623115e-05         1.384145e-01         1.778271e-02        -3.449096e-03
   645.384         1.317380e-01         1.561941e-05         1.370715e-01         1.764138e-02        -3.428183e-03
   646.210         1.339510e-01         1.614858e-05         1.356933e-01         1.750098e-02        -3.407386e-03
   647.036         1.285860e-01         1.488092e-05         1.347384e-01         1.741039e-02        -3.395906e-03
   647.862         1.307420e-01         1.538412e-05         1.342345e-01         1.736298e-02        -3.392129e-03
