    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         9.189390e-02         7.600040e-06         9.228008e-02         1.846388e-02        -5.045816e-04
   631.338         9.242170e-02         7.687594e-06         9.202230e-02         1.841132e-02        -5.036142e-04
   632.164         9.173610e-02         7.573961e-06         9.198185e-02         1.840226e-02        -5.063302e-04
   632.991         9.069010e-02         7.402225e-06         9.223671e-02         1.844868e-02        -5.115905e-04
   633.817         9.356510e-02         7.878985e-06         9.251000e-02         1.849556e-02        -5.167319e-04
   634.643         9.225520e-02         7.659920e-06         9.257705e-02         1.850033e-02        -5.200957e-04
   635.470         9.304820e-02         7.792171e-06         9.257725e-02         1.849236e-02        -5.228056e-04
   636.296         9.232890e-02         7.672163e-06         9.280634e-02         1.853204e-02        -5.272356e-04
   637.122         9.462010e-02         8.057667e-06         9.328752e-02         1.862558e-02        -5.338247e-04
   637.948         9.464680e-02         8.062215e-06         9.365739e-02         1.870056e-02        -5.400217e-04
   638.775         9.453200e-02         8.042669e-06         9.358043e-02         1.868699e-02        -5.429366e-04
   639.601         9.278590e-02         7.748301e-06         9.314120e-02         1.859830e-02        -5.422888e-04
   640.427         9.284620e-02         7.758375e-06         9.269233e-02         1.850611e-02        -5.403263e-04
   641.253         9.171830e-02         7.571022e-06         9.245492e-02         1.845963e-02        -5.394219e-04
   642.079         9.154360e-02         7.542208e-06         9.239406e-02         1.845582e-02        -5.402054e-04
   642.905         9.313360e-02         7.806481e-06         9.233567e-02         1.846057e-02        -5.414656e-04
   643.732         9.067620e-02         7.399956e-06         9.206478e-02         1.843077e-02        -5.412714e-04
   644.558         9.376800e-02         7.913194e-06         9.141886e-02         1.833632e-02        -5.385253e-04
   645.384         9.155770e-02         7.544531e-06         9.043426e-02         1.818713e-02        -5.339746e-04
   646.210         8.874360e-02         7.087884e-06         8.941270e-02         1.803838e-02        -5.297069e-04
   647.036         8.822410e-02         7.005143e-06         8.868334e-02         1.794164e-02        -5.272612e-04
   647.862         8.802710e-02         6.973893e-06         8.829103e-02         1.789131e-02        -5.264560e-04
   648.688         8.721070e-02         6.845136e-06         8.806600e-02         1.784839e-02        -5.263387e-04
   649.514         8.718080e-02         6.840443e-06         8.797956e-02         1.781576e-02        -5.269549e-04
   650.340         8.828770e-02         7.015246e-06         8.819302e-02         1.784206e-02        -5.292780e-04
   651.166         8.810710e-02         6.986575e-06         8.868746e-02         1.793342e-02        -5.331685e-04
   651.992         8.835660e-02         7.026200e-06         8.914430e-02         1.802360e-02        -5.369761e-04
   652.818         8.822380e-02         7.005095e-06         8.913311e-02         1.802230e-02        -5.385284e-04
   653.644         8.688030e-02         6.793368e-06         8.817244e-02         1.783443e-02        -5.349723e-04
   654.470         8.566140e-02         6.604088e-06         8.601563e-02         1.740950e-02        -5.243711e-04
   655.296         8.279340e-02         6.169272e-06         8.331865e-02         1.687194e-02        -5.102320e-04
   656.122         8.166460e-02         6.002196e-06         8.165352e-02         1.653201e-02        -5.020648e-04
   656.948         8.216160e-02         6.075476e-06         8.217780e-02         1.662378e-02        -5.072016e-04
   657.774         8.410700e-02         6.366589e-06         8.441572e-02         1.705637e-02        -5.228663e-04
   658.599         8.698070e-02         6.809078e-06         8.689194e-02         1.753605e-02        -5.397861e-04
   659.425         8.922030e-02         7.164236e-06         8.867438e-02         1.787481e-02        -5.519735e-04
   660.251         9.015400e-02         7.314969e-06         8.975524e-02         1.807105e-02        -5.596603e-04
   661.077         9.017140e-02         7.317793e-06         9.040447e-02         1.818424e-02        -5.654230e-04
   661.903         9.049030e-02         7.369645e-06         9.069651e-02         1.823679e-02        -5.703608e-04
   662.728         9.064470e-02         7.394815e-06         9.062321e-02         1.822776e-02        -5.738854e-04
   663.554         9.055280e-02         7.379829e-06         9.034069e-02         1.818012e-02        -5.758270e-04
   664.380         9.028470e-02         7.336194e-06         9.010839e-02         1.813750e-02        -5.775490e-04
   665.206         9.035060e-02         7.346908e-06         9.002595e-02         1.811981e-02        -5.806265e-04
   666.031         9.011350e-02         7.308399e-06         8.999528e-02         1.811217e-02        -5.850244e-04
   666.857         9.023010e-02         7.327324e-06         8.995878e-02         1.810413e-02        -5.893591e-04
   667.683         9.007230e-02         7.301717e-06         8.998177e-02         1.810670e-02        -5.924781e-04
   668.508         9.030750e-02         7.339900e-06         9.004542e-02         1.811680e-02        -5.940658e-04
   669.334         9.059550e-02         7.386790e-06         8.998360e-02         1.810338e-02        -5.941675e-04
  1503.952         1.110530e-02         1.109949e-07         1.135744e-02         2.263213e-03        -4.059493e-04
  1509.148         1.252520e-02         1.411926e-07         1.297159e-02         2.553120e-03        -4.490464e-04
  1514.333         1.288620e-02         1.494487e-07         1.340796e-02         2.626874e-03        -4.529751e-04
  1519.509         1.400580e-02         1.765462e-07         1.405096e-02         2.782080e-03        -4.682382e-04
